#   size of mask=      28.0000 s
#     mean LC =   4.7349898e+08
#  optimal aperture, jitter correction not done
#   mag=      11.6910
#           time-2400000.0,         flux,         fluxerr    xbarycentre(pixels)  ybarycentre(pixels)   
# Robust rms,   p2p,   2.5 CDPP, 6 CDPP
#       3123.6977       103.24137       66.549888       79.332189
        58095.5086368304619100       1.0038937335015889       0.0000476365475087         1.8383900105E-04         2.7519028063E-04
        58095.5290723978760070       1.0038169113770039       0.0000476329283385         6.2661309495E-04        -6.8291659210E-04
        58095.5495077656451031       1.0037572517265421       0.0000476283033753        -6.8614541799E-04         4.9334834856E-04
        58095.5699433336485527       1.0035726915808936       0.0000476226514565        -2.1535422156E-03         8.8803969844E-04
        58095.5903788019932108       1.0035156323010421       0.0000476172468019        -4.6137728868E-03        -7.2278955938E-05
        58095.6108141706936294       1.0035497197134411       0.0000476133566455        -3.0496177904E-03         7.3553242719E-04
        58095.6312497396284016       1.0035136971176439       0.0000476078130825        -2.4513327834E-03         2.2648770344E-03
        58095.6516852089043823       1.0035006310532220       0.0000476046932986        -4.7088813534E-03         1.7008717181E-03
        58095.6721205785361235       1.0035288697120415       0.0000476030092366        -6.8048101090E-03         9.6889749476E-04
        58095.6925561484022182       1.0034704869131033       0.0000475995425735        -6.9320504154E-03         9.2533778717E-04
        58095.7129916186095215       1.0035406020603903       0.0000475979008402        -8.1688307226E-03         8.6509726608E-04
        58095.7334269890561700       1.0035589955721125       0.0000476036393902        -1.0644803203E-02         1.4022961747E-03
        58095.7538625598535873       1.0034900095666208       0.0000475936126062        -1.1935310822E-02         2.5883726124E-03
        58095.7742980309922132       1.0035564563737431       0.0000475926806620        -1.3413560349E-02         2.5628994446E-03
        58095.7947335023709456       1.0033895368672114       0.0000475896133291        -1.7215563408E-02         2.8161600274E-03
        58095.8151689740989241       1.0034544570044011       0.0000475811191800        -1.7767964117E-02         2.6509481757E-03
        58095.8356044460524572       1.0032268633441850       0.0000475752597180        -1.9179988479E-02         2.0356195010E-03
        58095.8560399183625123       1.0032808071605455       0.0000475771489013        -2.0662015466E-02         2.5289261106E-03
        58095.9173463371480466       1.0039600055750719       0.0000476108801003         8.4587551951E-03        -3.5159943864E-03
        58095.9377818106222549       1.0037888965844688       0.0000476077280118         7.0857092208E-03        -3.2058535314E-03
        58095.9582172844384331       1.0038774643945387       0.0000476080094344         6.3172114931E-03        -3.6992229279E-03
        58095.9786527584947180       1.0038589421931101       0.0000476043033648         5.5453992199E-03        -3.5871139841E-03
        58095.9990882329002488       1.0038300979479857       0.0000476032815501         4.9881641925E-03        -2.8586011617E-03
        58096.0195237076477497       1.0037525444195023       0.0000476065427467         4.7972890317E-03        -3.3327829079E-03
        58096.0399592826361186       1.0037362882834486       0.0000476043598880         3.8179380037E-03        -3.8565863949E-03
        58096.0603946579722106       1.0038042267773808       0.0000476035436669         4.7093669343E-03        -3.1317950229E-03
        58096.0808301335346187       1.0038191943335644       0.0000475947805921         4.0159684649E-03        -3.0391741362E-04
        58096.1012657094543101       1.0037255827164924       0.0000475920381586         3.4034662354E-03        -7.1757116402E-04
        58096.1217010857217247       1.0039044977074927       0.0000475887542998         2.4749373084E-03        -1.3286489049E-03
        58096.1421365622154553       1.0038001931570359       0.0000475786318099         1.6615104675E-03        -1.2137777277E-03
        58096.1625721390664694       1.0037877426367119       0.0000475882302399        -6.8006993602E-04        -7.6337152339E-04
        58096.1830075161487912       1.0037647592273320       0.0000475848882936        -4.1791396713E-04        -1.1397026921E-03
        58096.2034429935738444       1.0037167583208844       0.0000475832348697        -2.0430064935E-03         1.8153185059E-04
        58096.2238785712397657       1.0035838187645758       0.0000475813617049        -4.8536018050E-03         1.0060446352E-03
        58096.2851850062070298       1.0028905936117163       0.0000475978439585        -1.1908321718E-02         4.4216951394E-04
        58096.3056204850363429       1.0025363161228054       0.0000475917536006        -1.2137604601E-02         6.0210396295E-04
        58096.3260559642076259       1.0027552634421149       0.0000475959297980        -1.3904000653E-02         1.4764824805E-03
        58096.3464914437354309       1.0031721089645156       0.0000476074690006        -1.4455122766E-02         2.2307817123E-03
        58096.4077978839413845       1.0039493596195690       0.0000476320631670         3.8699385184E-03        -3.6681940659E-03
        58096.4282333646333427       1.0038950227453729       0.0000476280038399         3.4300335915E-03        -3.9013452986E-03
        58096.4486689456680324       1.0038115076795733       0.0000476209823448         4.4205304933E-03        -1.6828280483E-03
        58096.4691043268248904       1.0038916152499449       0.0000476195015642         4.2122203148E-03        -8.6013392680E-04
        58096.4895398084481712       1.0039433887565323       0.0000476192252297         4.3140624144E-03        -8.2885987932E-04
        58096.5099753902977682       1.0040524272073186       0.0000476210162751         3.8859317042E-03        -8.1008226232E-04
        58096.5304107723859488       1.0039216868615870       0.0000476155742435         2.2499517787E-03        -1.4805840814E-03
        58096.5508462549405522       1.0039147043390002       0.0000476121219408         1.7641403642E-03        -1.3640944185E-03
        58096.5712818376050564       1.0040543672802942       0.0000476126705010         3.2287643602E-04        -1.5922256831E-03
        58096.5917172206245596       1.0038383306251433       0.0000476056416286        -1.2047812754E-03        -3.7619063810E-04
        58096.6121528039948316       1.0038270373138936       0.0000476048949718        -1.8305461227E-03         1.2181140011E-03
        58096.6325882875898969       1.0037928511935112       0.0000476046575708        -5.7502107946E-03         7.2146934353E-04
        58096.6530236715407227       1.0038105360387970       0.0000476053626074        -8.4066791089E-03         4.1834721603E-04
        58096.6734592557186261       1.0038151057723490       0.0000476073456258        -1.0120284596E-02         1.0380493825E-03
        58096.6938946402515285       1.0037437728382546       0.0000476058683806        -1.1960895914E-02         2.5061339169E-03
        58096.7143301250180230       1.0036554360863077       0.0000476066514219        -1.4329172428E-02         3.1762028290E-03
        58096.7347657101345249       1.0036383780230422       0.0000476087017784        -1.7314067125E-02         2.5154907182E-03
        58096.7552010954750585       1.0036810316791660       0.0000476135103113        -1.8502688538E-02         2.0217935432E-03
        58096.7756365811728756       1.0036070875162071       0.0000476163357246        -2.0454295381E-02         1.8538211049E-03
        58096.7960721670970088       1.0035809387729213       0.0000476222090993        -1.7057617960E-02         5.1448968167E-03
        58096.8369430398888653       1.0035136023527316       0.0000476265445134        -2.3902888022E-02        -1.0230380225E-04
        58096.8778141138391220       1.0038789311483898       0.0000476029008702        -1.9361652797E-02        -3.5992984578E-03
        58096.8982496012831689       1.0038043096113076       0.0000476007605689        -1.1357674710E-02         3.0885561479E-03
        58096.9186850889527705       1.0038381160681267       0.0000476041429999        -1.4429493133E-02         2.1480505673E-03
        58096.9391205769788940       1.0036027086233295       0.0000476032502705        -1.7569875684E-02         2.7581246262E-03
        58096.9595560653542634       1.0037056189623856       0.0000476113883252        -1.6131422781E-02         1.2727302617E-03
        58096.9799915538460482       1.0036078309926906       0.0000476146978797        -1.9006859429E-02         2.8278272362E-03
        58097.0208626318708411       1.0035204227936880       0.0000476237183386        -2.1397941887E-02         2.2968803900E-03
        58097.0617335110582644       1.0035577329293082       0.0000476383185666        -2.1702892240E-02        -2.9869257068E-03
        58097.1434755729351309       1.0041222428922281       0.0000476254532647         5.4832639853E-03        -2.9656665557E-03
        58097.2047820473671891       1.0040547775008868       0.0000476202937027         1.7464512984E-03        -3.0117705995E-03
