211814413	40
211818581	40
211845940	25
211699606	38
212006344	30
211529603	18
212118494	25
212092574	30
211481688	36
211427097	21
211695537	20
211531076	31
212024392	20
212037002	15
211827122	16
211720173	21
212093295	20
211622479	17
211949026	26
211487667	20
211696686	22
211529519	20
212164712	10
211529184	20
212004790	30
212118357	30
211750200	10
211693508	6
212110594	20
212030997	20
211494107	20
211695331	20
211818901	20
211842729	30
211748624	10
211505372	18
212119741	30
211811652	20
211838719	20
212121350	5
211677447	3
212130717	20
211754103	20
212010530	20
211936772	20
211946900	10
211499698	20
211497202	20
211825485	6
211841501	20
211950227	20
211707875	5
212013281	5
211516730	20
212109644	10
211811359	10
211725118	20
211706914	5
211954550	5
212086571	15
211922975	5
211947064	20
211826254	28
211432321	8
212165841	21
211889233	10
