#   size of mask=      37.0000 s
#     mean LC =   2.0803889e+08
#  optimal aperture, jitter correction not done
#   mag=      12.5100
#           time-2400000.0,         flux,         fluxerr    xbarycentre(pixels)  ybarycentre(pixels)   
# Robust rms,   p2p,   2.5 CDPP, 6 CDPP
#       1543.5634       242.62861       161.91223       196.59016
        58095.4681340006354731       1.0007552238471589       0.0000755702534326         2.5838296575E-02        -5.4196597581E-03
        58095.4885694196273107       1.0003978007540761       0.0000755849004142         2.4036240170E-02        -4.0046814216E-03
        58095.5090049389691558       1.0006058798571567       0.0000755972382773         2.7361541875E-02        -3.6747783384E-03
        58095.5294405585373170       1.0004966027461355       0.0000756034223038         2.2291047815E-02        -1.0536432546E-03
        58095.5498759783440619       1.0008406422626770       0.0000756231568507         1.8106392249E-02        -9.8039756856E-04
        58095.5703115985015756       1.0008993033165934       0.0000756286648122         1.3991653973E-02        -2.0186754692E-03
        58095.5907471187674673       1.0007584509024832       0.0000756285777810         1.2922668106E-02        -2.9705338875E-03
        58095.6111825393891195       1.0003462268551440       0.0000756163323521         9.7829200532E-03        -1.7381672968E-03
        58095.6316181602451252       1.0007535573740440       0.0000756389872621         8.3736219354E-03        -1.8287444805E-03
        58095.6520536814423394       1.0006668933182645       0.0000756320436895         6.9498949953E-03        -1.5611933957E-03
        58095.6724891027624835       1.0003970510992970       0.0000756221210767         7.4272021463E-03        -1.3237295831E-03
        58095.6929247244333965       1.0004050619944180       0.0000756195501747         8.1940278036E-03        -4.8113656928E-04
        58095.7133602463291027       1.0000686469965365       0.0000756141596162         7.3157699782E-03         1.2689823794E-03
        58095.7542312909499742       0.9998634319900189       0.0000755021824067         1.5597750331E-04         5.9143036875E-04
        58095.7746668135441723       0.9998226846220247       0.0000754936031912        -1.2807558434E-03        -3.6858633599E-05
        58095.7951023364948924       0.9997670646282208       0.0000754987424127         3.9126461480E-04         1.0787801371E-03
        58095.8155378596784431       0.9997073999350932       0.0000754509168385         1.6587655121E-03         6.6683811686E-04
        58095.8359733830875484       0.9996716783424334       0.0000754518672610         3.1290521941E-03         4.6483255234E-04
        58095.8564089068531757       0.9995705084214428       0.0000754609541511         2.5362566397E-03         2.8096560581E-04
        58095.9177154795397655       1.0012642152946227       0.0000753274112723         3.8247824070E-03         2.7773424307E-03
        58095.9381510042367154       1.0010102740963172       0.0000753312052463         7.5375806084E-03         2.7883974547E-03
        58095.9585865291592199       1.0007575357065475       0.0000753307167214         6.9234429361E-03         2.5604466640E-03
        58095.9790220544382464       1.0012603926651340       0.0000753553922962         4.8559873330E-03         2.8525733125E-03
        58096.0198931056875153       1.0011715708560760       0.0000754080976901        -1.9320681846E-03         2.7508103173E-03
        58096.0403287316657952       1.0011347647841091       0.0000754009544978        -4.4602564148E-04         2.8986438828E-03
        58096.0607641579917981       1.0011278082694632       0.0000753999248936        -1.4838909828E-03         3.5126172705E-03
        58096.0811996844277019       1.0010321026361946       0.0000753860534656        -3.7067330890E-03         2.6735567587E-03
        58096.1016353112208890       1.0010877312988722       0.0000753970801292        -3.5266113117E-03         3.2390356229E-03
        58096.1425062656126102       1.0006718572266495       0.0000753647098878        -8.1956249440E-04         3.0869169727E-03
        58096.1629418931042892       1.0007116624792953       0.0000754111057375        -1.7079010199E-03         3.6099617040E-03
        58096.1833773208272760       1.0006143053682599       0.0000754111552902        -3.8258986674E-03         3.9158083583E-03
        58096.2038128488929942       1.0007940326925289       0.0000754269829822        -6.0299492138E-03         3.2355088111E-03
        58096.2446839057374746       1.0004049259499579       0.0000754617030316        -5.8471879156E-03         4.6102703201E-03
        58096.2651195346188615       1.0004309748813263       0.0000754959203048        -3.5167541109E-03         3.7262630227E-03
        58096.2855550636231783       1.0000066020370912       0.0000754696976014        -1.0232336169E-03         5.1313720962E-04
        58096.3059905929767410       0.9997093331918754       0.0000754780979805        -1.9870164065E-03         1.3553462704E-03
