#   size of mask=       121.0000
#     mean LC =   2.6550220e+09
# full imagette as aperture, centroid not target, jitter correction not done
#   mag=      9.94600
#           time-2400000.0,         flux,         fluxerr    xbarycentre(pixels)  ybarycentre(pixels)   
# Robust rms,   p2p,   2.5 CDPP, 6 CDPP
#       515.05552       98.894622       82.183054       151.84615
        58095.4677046949218493       0.9997189470203177       0.0000199378771952        -5.9790232321E-03         1.8102988101E-02
        58095.4881400560552720       0.9996936139412987       0.0000199378290783        -5.9151265147E-03         1.5242204286E-02
        58095.5085755176551174       0.9997234726855049       0.0000199380077461        -4.8687621049E-03         1.2559506482E-02
        58095.5290110793648637       0.9996999020390064       0.0000199371280964        -4.5039946567E-03         9.1051888278E-03
        58095.5494464415460243       1.0000320867608272       0.0000199401786198        -3.4580692929E-03         8.6168072352E-03
        58095.5698820039615384       0.9996070576581028       0.0000199372511459        -2.6393142788E-03         8.5110661391E-03
        58095.5903174667182611       0.9997692309148427       0.0000199390825339        -7.5433996191E-04         1.0106426017E-02
        58095.6107528298307443       0.9997067933602209       0.0000199375836468         1.3111968233E-05         8.7812622108E-03
        58095.6311883931775810       0.9996033285511802       0.0000199369165760         2.8595541647E-03         9.2891532819E-03
        58095.6516238568656263       0.9995680362641470       0.0000199366270458         4.3208023671E-03         8.7008468437E-03
        58095.6720592207930167       0.9995405857413671       0.0000199357999347         7.5949502896E-03         7.9775922582E-03
        58095.6924947850711760       0.9995392714596050       0.0000199357043227         7.5179690627E-03         5.9046480529E-03
        58095.7129302496905439       0.9995923492872977       0.0000199362599315         7.5937949390E-03         4.1960883335E-03
        58095.7538011798751540       0.9998056650770968       0.0000199404179809         6.5521560350E-03         3.6073407645E-03
        58095.7742366454258445       0.9998821922755647       0.0000199284219514         6.0414844446E-03         2.6853795634E-03
        58095.7946721112166415       0.9999293143034911       0.0000199293285207         5.3443838540E-03         2.5253900549E-03
        58095.8151075773566845       1.0000463834248243       0.0000199277280675         5.3708212882E-03         2.2229787016E-03
        58095.8355430438386975       0.9999892676689989       0.0000199262819319         5.6496701089E-03         2.3535601394E-03
        58095.8559785105608171       1.0000869562594030       0.0000199270846310         5.7358050020E-03         2.7609910295E-03
        58095.9172849126989604       1.0004384090127345       0.0000199213382723        -5.4054353865E-03         1.7572988395E-03
        58095.9377203807016485       1.0004464665278066       0.0000199216711051        -5.6021550220E-03        -5.0195395637E-04
