#   size of mask=      40.0000 s
#     mean LC =   2.9196137e+09
#  optimal aperture, jitter correction not done
#   mag=      9.78300
#           time-2400000.0,         flux,         fluxerr    xbarycentre(pixels)  ybarycentre(pixels)   
# Robust rms,   p2p,   2.5 CDPP, 6 CDPP
#       65.290744       61.217819       40.215975       45.058674
        58095.4676774276595097       0.9993295210788941       0.0000186674074098        -2.9611001137E-03        -1.4530279511E-03
        58095.4881127844855655       0.9993086509213283       0.0000186674242709        -3.9190488513E-03        -1.0682132998E-04
        58095.5085482416616287       0.9993330544739735       0.0000186676219389        -4.3581926100E-03         1.7137240599E-03
        58095.5289837990640081       0.9992992593538602       0.0000186672584937        -4.5733363187E-03         1.2466982348E-03
        58095.5494191568213864       0.9992420673622074       0.0000186665630489        -4.5356759116E-03         1.7079713300E-03
        58095.5698547149295337       0.9993800465737294       0.0000186678126228        -3.5584820305E-03         2.3793521817E-05
        58095.5902901732624741       0.9993727705743370       0.0000186678258012        -2.2027948308E-03        -1.7170830854E-03
        58095.6107255319511751       0.9994207941240334       0.0000186685197908        -2.8069075179E-04        -3.7097405885E-03
        58095.6311610909906449       0.9993710543685385       0.0000186680926163         2.2486200934E-03        -1.2689013034E-03
        58095.6515965502549079       0.9994087964019921       0.0000186683900035         2.9079635384E-03         3.0137283760E-04
        58095.6720319098749314       0.9994481679766034       0.0000186686954832         5.5371046218E-03         1.8615692820E-03
        58095.6924674698457238       0.9994272052039296       0.0000186683385339         5.5293753699E-03         1.4994649009E-03
        58095.7129029301577248       0.9993747377573737       0.0000186674461693         6.1094825033E-03         2.2509832874E-03
        58095.7537738516111858       0.9993951415211368       0.0000186662978669         4.5096449254E-03         6.6030427768E-03
        58095.7742093128545093       0.9994774776498515       0.0000186623982722         4.2013142495E-03         7.3885495455E-03
        58095.7946447743379395       0.9994645133430045       0.0000186616676135         4.1233500126E-03         8.5279300384E-03
        58095.8150802361706155       0.9994387948430442       0.0000186600483296         4.1887946957E-03         8.2126036825E-03
        58095.8355156982288463       0.9994431819744681       0.0000186591202195         4.7653868652E-03         7.5163057595E-03
        58095.8559511607600143       0.9994855934947017       0.0000186588183473         4.9283043896E-03         7.5215394213E-03
        58095.9172575498596416       0.9996677797496364       0.0000186643093701        -1.8178094824E-03        -1.1051966696E-03
        58095.9376930135549628       0.9996350202772446       0.0000186639014767        -2.4155210061E-03        -1.0169861669E-03
        58095.9785639418696519       0.9997182065945971       0.0000186645867398        -5.3260653688E-03        -1.3560605960E-03
        58096.0194348714649095       0.9996259616693088       0.0000186644364382        -3.3684139414E-03        -3.6900159569E-03
        58096.0398704366743914       0.9996447076657758       0.0000186647317863        -2.0049635376E-03        -4.2232741768E-03
        58096.0603058022315963       0.9997348942932234       0.0000186657688740        -1.3302677063E-03        -5.8853441172E-03
        58096.0807412680151174       0.9996946821028686       0.0000186651165174        -1.2497983524E-03        -4.7307762864E-03
        58096.1011768342723371       0.9996787097613474       0.0000186650649086         6.1694710874E-04        -3.9728539614E-03
