#   size of mask=      40.0000 s
#     mean LC =   1.2527856e+09
#  optimal aperture, jitter correction not done
#   mag=      10.5680
#           time-2400000.0,         flux,         fluxerr    xbarycentre(pixels)  ybarycentre(pixels)   
# Robust rms,   p2p,   2.5 CDPP, 6 CDPP
#       3060.7870       80.113011       58.538331       93.125884
        58095.4676037158060353       1.0015932766430662       0.0000287960613255         4.8351723228E-03         8.0159618468E-03
        58095.4880390452744905       1.0015446472696059       0.0000287869793040         4.0286348255E-03         6.1263307062E-03
        58095.5289100052541471       1.0015970355764521       0.0000287715225436         4.5689773458E-03         3.3028391510E-03
        58095.5493453357703402       1.0015620083065959       0.0000287643218557         4.2490115447E-03         1.3263550214E-03
        58095.5697808665208868       1.0015799153121188       0.0000287580654377         1.7937585796E-03         8.6508547648E-05
        58095.5902162976126419       1.0015743266154586       0.0000287504998882        -7.7046083211E-04        -8.8783145133E-05
        58095.6106516290601576       1.0015569516632270       0.0000287432025273        -1.4122596890E-03         6.9587643186E-04
        58095.6310871608584421       1.0016264954250718       0.0000287365366458        -3.6702931230E-03         1.7124729181E-03
        58095.6515225928815198       1.0015321402372284       0.0000287293897783        -5.0342814121E-03         2.3223107744E-03
        58095.6719579252603580       1.0015867038057324       0.0000287243275725        -6.6051597570E-03         1.8244173105E-03
        58095.6923934579899651       1.0014713454066457       0.0000287183137953        -6.6202321753E-03         2.4132960105E-03
        58095.7128288910607807       1.0014785006166471       0.0000287128762126        -6.7652927612E-03        -9.7627563828E-05
        58095.7741351921504247       1.0014340304687386       0.0000286909863606        -7.3471778575E-03        -1.0655510314E-03
        58095.7945706265090848       1.0014098287089099       0.0000286881512512        -7.4974437697E-03        -5.5297504721E-03
        58095.8150060612169909       1.0015219610723480       0.0000286861979019        -6.8411435627E-03        -4.9440146181E-03
        58095.8354414961504517       1.0015011972364514       0.0000286812279173        -5.7045740205E-03        -5.6417692877E-03
        58095.8558769314404344       1.0015167147711441       0.0000286801041108        -6.2377933339E-03        -6.9711462805E-03
        58095.9171832392821671       1.0023146436522610       0.0000287768320858         2.9728954486E-03        -8.5537377775E-04
        58095.9376186759691336       1.0023130408459364       0.0000287686575404         2.7622299042E-03        -3.2276629580E-04
        58095.9580541128816549       1.0022087453044219       0.0000287590126606         3.3321195428E-03         6.6114145899E-04
        58095.9784895500342827       1.0022944890523116       0.0000287541244954         3.4334086842E-03        -1.8182429526E-03
        58095.9989249876525719       1.0023460038344059       0.0000287481275108         2.9612939871E-03        -1.7125866526E-03
        58096.0193604254964157       1.0022383939077180       0.0000287412798384         9.1452792380E-04        -2.3997709036E-03
        58096.0397959636975429       1.0022293251269514       0.0000287349940166        -8.2471408500E-04        -3.1973469862E-03
        58096.0602313022463932       1.0022397703450894       0.0000287295717388        -4.9441047304E-04        -3.1603543697E-03
        58096.0806667410215596       1.0021203953611759       0.0000287195842193        -1.0255895556E-03        -4.4390954976E-03
        58096.1011022802704247       1.0020958756205389       0.0000287119197294        -3.0482219079E-03        -2.4020365574E-03
