time	flux	sflux
----	----	-----
58095.590363	1.000313	0.000013
58095.835589	1.000374	0.000015
58096.091032	1.000230	0.000013
58096.346476	1.000238	0.000017
58096.591702	1.000172	0.000012
58096.847145	1.000188	0.000013
58097.082154	1.000032	0.000015
58097.327379	0.999879	0.000014
58097.633912	0.999752	0.000016
58097.838267	0.999692	0.000014
58098.093711	0.999692	0.000014
58098.287848	0.999637	0.000017
58098.614817	0.999634	0.000014
58098.880478	0.999587	0.000015
58099.095051	0.999623	0.000013
58099.370931	0.999658	0.000015
58099.605939	0.999748	0.000013
58099.851166	0.999852	0.000013
58100.116828	0.999939	0.000014
58100.362054	1.000028	0.000014
58100.597063	1.000015	0.000012
58100.872943	1.000089	0.000014
58101.107952	1.000112	0.000014
58101.342960	1.000168	0.000014
58101.608623	1.000314	0.000014
58101.864067	1.000440	0.000014
58102.099076	1.000440	0.000013
58102.364738	1.000494	0.000014
58102.589530	1.000514	0.000013
58102.865410	1.000517	0.000014
58103.120854	1.000580	0.000014
58103.355864	1.000591	0.000014
58103.590873	1.000524	0.000013
58103.846317	1.000471	0.000015
58104.101762	1.000473	0.000014
58104.357207	1.000358	0.000014
58104.581998	1.000258	0.000014
58104.837443	1.000158	0.000014
58105.092888	0.999997	0.000014
58105.348333	0.999978	0.000013
58105.573125	0.999876	0.000014
58105.849005	0.999840	0.000012
58106.094232	0.999803	0.000014
58106.329242	0.999856	0.000014
58106.564251	0.999897	0.000016
58106.829914	0.999632	0.000016
58107.085359	0.999403	0.000013
58107.330587	0.999491	0.000014
58107.596250	0.999508	0.000013
58107.821041	0.999469	0.000014
58108.076486	0.999431	0.000013
58108.362585	0.999413	0.000013
58108.577159	0.999350	0.000014
58108.822387	0.999387	0.000014
58109.088050	0.999353	0.000013
58109.333277	0.999419	0.000014
58109.578505	0.999394	0.000014
58109.844168	0.999399	0.000013
58110.079178	0.999392	0.000013
58110.355059	0.999346	0.000014
58110.600287	0.999410	0.000014
58110.845514	0.999519	0.000014
58111.100960	0.999619	0.000013
58111.376841	0.999649	0.000014
58111.622069	0.999638	0.000014
58111.846861	0.999658	0.000013
58112.112524	0.999633	0.000014
58112.367970	0.999684	0.000013
58112.623415	0.999753	0.000014
58112.878861	0.999818	0.000015
58113.103653	0.999821	0.000013
58113.348881	0.999870	0.000012
58113.604326	0.999907	0.000013
58113.869990	0.999986	0.000014
58114.115218	0.999957	0.000014
58114.370663	1.000050	0.000013
58114.595456	1.000097	0.000015
58114.901991	1.000126	0.000017
58115.106347	1.000175	0.000013
58115.361793	1.000219	0.000013
58115.607021	1.000261	0.000013
58115.872684	1.000271	0.000014
58116.117912	1.000171	0.000014
58116.312051	1.000291	0.000015
58116.618586	1.000211	0.000015
58116.874032	1.000103	0.000014
58117.098824	1.000124	0.000014
58117.354270	1.000086	0.000013
58117.579062	1.000133	0.000013
58117.844726	1.000102	0.000013
58118.079736	1.000008	0.000014
58118.335182	1.000085	0.000013
58118.580410	1.000037	0.000013
58118.784767	0.999977	0.000020
58119.173045	1.000214	0.000020
58119.326312	1.000093	0.000014
58119.602193	1.000088	0.000012
58119.837204	1.000102	0.000014
58120.082432	1.000116	0.000014
58120.327660	1.000194	0.000014
58120.593323	1.000293	0.000013
58120.807898	1.000292	0.000017
58121.124651	1.000445	0.000014
58121.349443	1.000393	0.000013
58121.584454	1.000417	0.000013
58121.839899	1.000472	0.000014
58122.095345	1.000501	0.000013
58122.330355	1.000463	0.000014
58122.575583	1.000483	0.000014
58122.841247	1.000527	0.000013
58123.096693	1.000471	0.000013
58123.341921	1.000495	0.000013
58123.628020	1.000506	0.000015
58123.873248	1.000493	0.000013
58124.108259	1.000467	0.000013
58124.373922	1.000435	0.000014
58124.619150	1.000378	0.000014
58124.803071	1.000292	0.000018
58125.109606	1.000209	0.000013
58125.375270	1.000073	0.000014
58125.620498	1.000008	0.000014
58125.875944	0.999940	0.000013
58126.131389	0.999895	0.000014
58126.376617	0.999865	0.000014
58126.642281	0.999790	0.000016
58126.856855	0.999733	0.000013
58127.112301	0.999793	0.000013
58127.377965	0.999768	0.000014
58127.623192	0.999700	0.000014
58127.868420	0.999658	0.000014
58128.103430	0.999633	0.000013
58128.389530	0.999496	0.000015
58128.624540	0.999161	0.000014
58128.859549	0.999084	0.000013
58129.114995	0.998702	0.000013
58129.350005	0.998591	0.000013
58129.615668	0.999855	0.000013
58129.860896	0.999607	0.000013
58130.106124	0.999938	0.000012
58130.361569	0.999997	0.000013
58130.596579	0.999988	0.000013
58130.852025	0.999903	0.000013
58131.107470	0.999993	0.000012
58131.362916	1.000020	0.000013
58131.608143	1.000003	0.000013
58131.853371	1.000012	0.000013
58132.108816	1.000003	0.000012
58132.364262	0.999985	0.000013
58132.599271	1.000037	0.000013
58132.854717	0.999954	0.000013
58133.099944	0.999961	0.000013
58133.355389	1.000052	0.000012
58133.610835	1.000140	0.000013
58133.856062	1.000162	0.000013
58134.080854	1.000209	0.000014
58134.356735	1.000164	0.000012
58134.601962	1.000245	0.000013
58134.857407	1.000212	0.000013
58135.102634	1.000229	0.000013
58135.337644	1.000229	0.000013
58135.613524	1.000125	0.000013
58135.858752	1.000092	0.000013
58136.103979	1.000075	0.000014
58136.359424	1.000091	0.000012
58136.625087	1.000105	0.000013
58136.860096	1.000113	0.000013
58137.125758	1.000153	0.000014
58137.360768	1.000178	0.000012
58137.646866	1.000242	0.000015
58137.861439	1.000288	0.000013
58138.106666	1.000313	0.000013
58138.351893	1.000345	0.000013
58138.617556	1.000379	0.000013
58138.862782	1.000431	0.000013
58139.118227	1.000439	0.000013
58139.353236	1.000443	0.000013
58139.608681	1.000367	0.000012
58139.864125	1.000251	0.000013
58140.140005	1.000172	0.000015
58140.354578	1.000051	0.000013
58140.610023	0.999970	0.000013
58140.865467	0.999927	0.000013
58141.110693	0.999884	0.000013
58141.366138	0.999769	0.000013
58141.611364	0.999634	0.000012
58141.856591	0.999479	0.000015
58142.122252	0.999451	0.000013
58142.357261	0.999387	0.000013
58142.622923	0.999303	0.000013
58142.868149	0.999280	0.000013
58143.092940	0.999249	0.000014
58143.358601	0.999195	0.000013
58143.603827	0.999085	0.000013
58143.859271	0.999007	0.000012
58144.104497	0.998981	0.000013
58144.349723	0.998917	0.000013
58144.574513	0.998901	0.000015
58144.840175	0.998894	0.000013
58145.116054	0.998852	0.000013
58145.340844	0.998888	0.000014
58145.606505	0.998887	0.000013
58145.861949	0.998919	0.000012
58146.096957	0.998900	0.000014
58146.352400	0.998914	0.000013
58146.607843	0.998901	0.000013
58146.842851	0.998921	0.000013
58147.108512	0.998901	0.000013
58147.343520	0.998935	0.000014
58147.609181	0.998892	0.000013
58147.854406	0.998941	0.000013
58148.120067	0.999015	0.000013
58148.355074	0.999122	0.000013
58148.610517	0.999238	0.000013
58148.804654	0.999444	0.000017
58149.111185	0.999503	0.000012
58149.387063	0.999696	0.000014
58149.611853	0.999801	0.000013
58149.877513	0.999927	0.000014
58150.112520	1.000040	0.000012
58150.378180	1.000130	0.000013
58150.613187	1.000237	0.000013
58150.878847	1.000316	0.000014
58151.113854	1.000381	0.000012
58151.389732	1.000348	0.000014
58151.614521	1.000426	0.000013
58151.859745	1.000448	0.000013
58152.125405	1.000466	0.000013
58152.370629	1.000507	0.000014
58152.636289	1.000523	0.000016
58152.861078	1.000705	0.000013
58153.136955	1.000725	0.000013
58153.371961	1.000846	0.000013
58153.617185	1.000899	0.000013
58153.882845	1.000895	0.000014
58154.107633	1.000960	0.000013
58154.373293	1.000908	0.000013
58154.608299	1.000885	0.000013
58154.873958	1.000784	0.000013
58155.119181	1.000780	0.000013
58155.343970	1.000810	0.000013
58155.599411	1.000812	0.000014
58155.875287	1.000791	0.000013
58156.100075	1.000804	0.000013
58156.375952	1.000890	0.000013
58156.600740	1.000870	0.000014
58156.866398	1.000860	0.000013
58157.091186	1.000884	0.000014
58157.367062	1.000847	0.000012
58157.602067	1.000833	0.000014
58157.847290	1.000815	0.000014
58158.102731	1.000665	0.000013
58158.368389	1.000638	0.000012
58158.623829	1.000574	0.000013
58158.848617	1.000460	0.000014
58159.104057	1.000456	0.000013
58159.359497	1.000420	0.000013
58159.584284	1.000460	0.000014
58159.870377	1.000386	0.000013
58160.105382	1.000210	0.000013
58160.350604	1.000204	0.000013
58160.616262	0.999986	0.000012
58160.871701	0.999991	0.000013
58161.116923	0.999878	0.000013
58161.362145	0.999935	0.000013
58161.617585	0.999860	0.000012
58161.893459	0.999840	0.000014
58162.138681	0.999803	0.000014
58162.363468	0.999847	0.000013
58162.618907	0.999777	0.000012
58162.874346	0.999726	0.000013
58163.119567	0.999617	0.000013
58163.364789	0.999532	0.000013
58163.599792	0.999388	0.000013
58163.885884	0.999238	0.000013
58164.131105	0.999489	0.000013
58164.366109	0.999370	0.000013
58164.611329	0.999487	0.000013
58164.866768	0.999563	0.000012
58165.122206	0.999520	0.000013
58165.367427	0.999483	0.000013
58165.612648	0.999481	0.000013
58165.868086	0.999559	0.000012
58166.133742	0.999728	0.000015
58166.368744	0.999636	0.000013
58166.613965	0.999503	0.000013
58166.869403	0.999379	0.000013
58167.175928	0.999466	0.000017
58167.370060	0.999269	0.000013
58167.605063	0.999104	0.000013
58167.870718	0.999187	0.000013
58168.126155	0.999192	0.000013
58168.371375	0.999165	0.000013
58168.606377	0.999178	0.000013
58168.872032	0.999257	0.000012
58169.107034	0.999355	0.000014
58169.372688	0.999411	0.000013
58169.597473	0.999459	0.000014
