time	flux	sflux
----	----	-----
58095.590368	1.000517	0.000012
58095.825376	0.999885	0.000014
58096.091037	0.999685	0.000013
58096.336263	0.999423	0.000016
58096.591707	0.999145	0.000012
58096.836932	0.998649	0.000014
58097.082158	0.998415	0.000015
58097.327384	0.998535	0.000014
58097.633917	0.998477	0.000015
58097.838272	0.998246	0.000014
58098.093716	0.998258	0.000014
58098.287853	0.998355	0.000017
58098.584168	0.998517	0.000014
58098.880483	0.998540	0.000015
58099.095056	0.998566	0.000013
58099.370935	0.998594	0.000015
58099.605944	0.998683	0.000013
58099.851170	0.998847	0.000013
58100.116832	0.999137	0.000014
58100.362059	0.999535	0.000014
58100.597067	0.999866	0.000012
58100.862729	1.000238	0.000015
58101.118174	1.000536	0.000014
58101.353183	1.000801	0.000013
58101.618845	1.001073	0.000013
58101.874289	1.001222	0.000014
58102.099080	1.001429	0.000013
58102.364743	1.001438	0.000014
58102.599752	1.001468	0.000012
58102.875632	1.001465	0.000014
58103.120858	1.001392	0.000014
58103.355868	1.001415	0.000013
58103.590877	1.001385	0.000013
58103.846321	1.001352	0.000015
58104.101766	1.001356	0.000014
58104.357211	1.001347	0.000013
58104.582002	1.001356	0.000013
58104.837447	1.001288	0.000014
58105.092892	1.001231	0.000013
58105.348337	1.001041	0.000013
58105.573128	1.000920	0.000014
58105.849009	1.000697	0.000012
58106.094236	1.000588	0.000013
58106.329245	1.000420	0.000014
58106.574473	1.000184	0.000014
58106.840135	0.999924	0.000013
58107.095581	0.999827	0.000013
58107.330590	0.999810	0.000014
58107.596253	0.999690	0.000013
58107.831263	0.999578	0.000013
58108.086708	0.999508	0.000014
58108.352371	0.999362	0.000013
58108.577163	0.999224	0.000014
58108.832608	0.999156	0.000013
58109.098271	0.999124	0.000013
58109.333281	0.999049	0.000014
58109.578508	0.999139	0.000014
58109.854389	0.999249	0.000012
58110.109835	0.999375	0.000014
58110.355062	0.999583	0.000014
58110.600290	0.999760	0.000014
58110.876171	0.999975	0.000013
58111.100963	1.000145	0.000014
58111.376844	1.000293	0.000014
58111.622072	1.000476	0.000014
58111.846864	1.000662	0.000013
58112.112527	1.000719	0.000013
58112.378190	1.000795	0.000014
58112.623418	1.000858	0.000014
58112.878864	1.000927	0.000015
58113.113874	1.000822	0.000013
58113.359101	1.000727	0.000013
58113.604329	1.000685	0.000013
58113.869993	1.000440	0.000014
58114.125438	1.000045	0.000013
58114.380884	0.999713	0.000014
58114.595459	0.999581	0.000015
58114.891775	0.999074	0.000016
58115.116568	0.998649	0.000013
58115.382231	0.998242	0.000014
58115.607024	0.997762	0.000013
58115.872687	0.997243	0.000014
58116.128133	0.996727	0.000013
58116.322272	0.996560	0.000016
58116.618589	0.996146	0.000015
58116.863817	0.995741	0.000013
58117.098827	0.995508	0.000014
58117.354273	0.995331	0.000013
58117.589283	0.995245	0.000014
58117.844729	0.995177	0.000013
58118.089957	0.995123	0.000013
58118.355620	0.995351	0.000013
58118.590630	0.995455	0.000014
58118.794987	0.995658	0.000018
58119.101522	0.995750	0.000013
58119.336532	0.996081	0.000013
58119.612414	0.996461	0.000013
58119.837206	0.996873	0.000014
58120.092652	0.997295	0.000015
58120.337880	0.997627	0.000013
58120.603544	0.998190	0.000013
58120.807900	0.998571	0.000017
58121.104218	0.999055	0.000013
58121.359663	0.999640	0.000012
58121.594674	1.000134	0.000014
58121.839902	1.000474	0.000014
58122.095347	1.000929	0.000013
58122.340575	1.001447	0.000013
58122.616457	1.001935	0.000014
58122.851467	1.002370	0.000013
58123.096695	1.002698	0.000013
58123.362359	1.003024	0.000013
58123.638240	1.003234	0.000014
58123.883468	1.003528	0.000014
58124.108261	1.003830	0.000013
58124.384142	1.003992	0.000013
58124.639588	1.004103	0.000014
58124.884816	1.003932	0.000014
58125.109608	1.003976	0.000013
58125.375272	1.003935	0.000014
58125.630718	1.003857	0.000013
58125.886163	1.003791	0.000014
58126.131391	1.003684	0.000014
58126.386837	1.003503	0.000013
58126.642283	1.003240	0.000014
