time	flux	sflux
----	----	-----
58095.579944	0.999558	0.000005
58095.845605	0.999787	0.000006
58096.090830	0.999897	0.000005
58096.336056	0.999919	0.000006
58096.591499	0.999945	0.000005
58096.836724	0.999808	0.000005
58097.112603	0.999997	0.000006
58097.327175	1.000161	0.000005
58097.643925	1.000215	0.000006
58097.838062	1.000224	0.000005
58098.093505	1.000279	0.000006
58098.287642	1.000318	0.000007
58098.614610	1.000370	0.000005
58098.880272	1.000326	0.000006
58099.094844	1.000329	0.000005
58099.340070	1.000354	0.000006
58099.605732	1.000311	0.000005
58099.850958	1.000297	0.000005
58100.116619	1.000220	0.000006
58100.361845	1.000163	0.000006
58100.596854	1.000076	0.000005
58100.872733	1.000017	0.000006
58101.107741	0.999996	0.000005
58101.352968	0.999966	0.000005
58101.608412	0.999867	0.000006
58101.863856	0.999807	0.000005
58102.098865	0.999787	0.000005
58102.364526	0.999763	0.000006
58102.589317	0.999781	0.000005
58102.865197	0.999715	0.000005
58103.120642	0.999655	0.000006
58103.355650	0.999665	0.000005
58103.590659	0.999723	0.000005
58103.846103	0.999652	0.000006
58104.101548	0.999738	0.000006
58104.356992	0.999711	0.000005
58104.581784	0.999730	0.000005
58104.837228	0.999736	0.000006
58105.092673	0.999779	0.000005
58105.348117	0.999734	0.000005
58105.572909	0.999775	0.000006
58105.848789	0.999840	0.000005
58106.094016	0.999895	0.000005
58106.329025	0.999949	0.000006
58106.574252	0.999986	0.000006
58106.829697	0.999980	0.000005
58107.085142	1.000040	0.000005
58107.330369	1.000114	0.000006
58107.596032	1.000180	0.000005
58107.820823	1.000253	0.000006
58108.076268	1.000301	0.000005
58108.352149	1.000349	0.000005
58108.576940	1.000384	0.000006
58108.822168	1.000367	0.000006
58109.087831	1.000398	0.000005
58109.333058	1.000387	0.000006
58109.578285	1.000348	0.000006
58109.843948	1.000365	0.000005
58110.078958	1.000336	0.000005
58110.354839	1.000255	0.000006
58110.600066	1.000192	0.000006
58110.845293	1.000166	0.000006
58111.100739	1.000099	0.000005
58111.376620	1.000032	0.000006
58111.621847	0.999984	0.000006
58111.846639	0.999968	0.000005
58112.112302	0.999957	0.000005
58112.377966	0.999923	0.000006
58112.623193	0.999892	0.000006
58112.868421	0.999836	0.000006
58113.103431	0.999872	0.000005
58113.348658	0.999860	0.000005
58113.604104	0.999834	0.000005
58113.869767	0.999824	0.000006
58114.114995	0.999789	0.000006
58114.370441	0.999767	0.000005
58114.595233	0.999761	0.000006
58114.891550	0.999777	0.000006
58115.106124	0.999795	0.000005
58115.361570	0.999842	0.000005
58115.606797	0.999827	0.000005
58115.872461	0.999907	0.000006
58116.117689	0.999957	0.000006
58116.311827	0.999932	0.000006
58116.618362	1.000036	0.000006
58116.863590	1.000070	0.000005
58117.098600	1.000102	0.000006
58117.364264	1.000170	0.000005
58117.589056	1.000231	0.000006
58117.844502	1.000226	0.000005
58118.079512	1.000273	0.000006
58118.334958	1.000399	0.000005
58118.580186	1.000452	0.000005
58118.784543	1.000447	0.000008
58119.101295	1.000392	0.000005
58119.326088	1.000449	0.000006
58119.601969	1.000433	0.000005
58119.836979	1.000473	0.000006
58120.082207	1.000374	0.000006
58120.327435	1.000318	0.000006
58120.593099	1.000275	0.000005
58120.828109	1.000207	0.000006
58121.114209	1.000092	0.000005
58121.349219	1.000136	0.000005
58121.584229	1.000085	0.000005
58121.839675	0.999912	0.000006
58122.095121	0.999874	0.000005
58122.330131	0.999895	0.000006
58122.585577	0.999910	0.000005
58122.851241	0.999786	0.000005
58123.096469	0.999829	0.000005
58123.341697	0.999790	0.000005
58123.597143	0.999748	0.000006
58123.873024	0.999711	0.000005
58124.108035	0.999741	0.000005
58124.373698	0.999681	0.000006
58124.618926	0.999683	0.000006
58124.874372	0.999710	0.000005
58125.109383	0.999697	0.000005
58125.375046	0.999722	0.000006
58125.610057	0.999744	0.000005
58125.875720	0.999761	0.000005
58126.131166	0.999837	0.000006
58126.376394	0.999868	0.000006
58126.621622	0.999932	0.000006
58126.856632	0.999965	0.000005
58127.112078	0.999972	0.000005
58127.377742	1.000014	0.000006
58127.612752	1.000039	0.000005
58127.888633	1.000141	0.000006
58128.123644	1.000117	0.000005
58128.379089	1.000194	0.000006
58128.634535	1.000382	0.000006
58128.859327	1.000322	0.000005
58129.124991	1.000452	0.000005
58129.349783	1.000397	0.000005
58129.615447	1.000485	0.000005
58129.850457	1.000497	0.000005
58130.105903	1.000433	0.000005
58130.361348	1.000347	0.000005
58130.596358	1.000273	0.000005
58130.851804	1.000232	0.000005
58131.107250	1.000164	0.000005
58131.362696	1.000072	0.000005
58131.607923	1.000031	0.000005
58131.853151	0.999964	0.000005
58132.108597	0.999935	0.000005
58132.364042	0.999919	0.000005
58132.599052	0.999891	0.000005
58132.854498	0.999921	0.000005
58133.109943	0.999902	0.000005
58133.365389	0.999884	0.000005
58133.610616	0.999850	0.000005
58133.855844	0.999802	0.000005
58134.090854	0.999763	0.000005
58134.366735	0.999784	0.000005
58134.601745	0.999798	0.000005
58134.857190	0.999808	0.000005
58135.102418	0.999797	0.000005
58135.337427	0.999790	0.000005
58135.613308	0.999812	0.000005
58135.858536	0.999862	0.000005
58136.103763	0.999884	0.000006
58136.359208	0.999881	0.000005
58136.614654	0.999931	0.000006
58136.859881	0.999973	0.000005
58137.125544	1.000016	0.000006
58137.350336	1.000048	0.000005
58137.636434	1.000132	0.000006
58137.861226	1.000144	0.000005
58138.106453	1.000226	0.000005
58138.361898	1.000271	0.000005
58138.627561	1.000300	0.000005
58138.862570	1.000326	0.000005
58139.107797	1.000374	0.000005
58139.363242	1.000400	0.000005
58139.618687	1.000381	0.000005
58139.863914	1.000349	0.000005
58140.139795	1.000310	0.000006
58140.364586	1.000307	0.000005
58140.640466	1.000315	0.000006
58140.865258	1.000237	0.000005
58141.110484	1.000034	0.000005
58141.365929	1.000032	0.000005
58141.611156	1.000011	0.000005
58141.846165	0.999950	0.000006
58142.122045	1.000023	0.000005
58142.357054	0.999904	0.000005
58142.622716	0.999907	0.000005
58142.867943	0.999819	0.000005
58143.092734	0.999793	0.000006
58143.358396	0.999808	0.000005
58143.613840	0.999769	0.000005
58143.869284	0.999744	0.000005
58144.104293	0.999733	0.000005
58144.349519	0.999732	0.000005
58144.584528	0.999772	0.000006
58144.850190	0.999795	0.000006
58145.115852	0.999816	0.000005
58145.330424	0.999804	0.000006
58145.616522	0.999833	0.000005
58145.871966	0.999838	0.000005
58146.096756	0.999825	0.000006
58146.352200	0.999847	0.000005
58146.607644	0.999862	0.000005
58146.842652	0.999933	0.000005
58147.108313	0.999973	0.000005
58147.343322	1.000026	0.000006
58147.608983	1.000101	0.000005
58147.854209	1.000138	0.000005
58148.119870	1.000237	0.000005
58148.354878	1.000297	0.000005
58148.610321	1.000357	0.000005
58148.814676	1.000394	0.000006
58149.121208	1.000427	0.000005
58149.386869	1.000438	0.000006
58149.601441	1.000472	0.000005
58149.887537	1.000453	0.000005
58150.122545	1.000445	0.000005
58150.377988	1.000446	0.000005
58150.612996	1.000461	0.000005
58150.888874	1.000336	0.000005
58151.123881	1.000324	0.000005
58151.399760	1.000179	0.000006
58151.614332	1.000149	0.000005
58151.859557	1.000140	0.000005
58152.125217	0.999997	0.000005
58152.380659	0.999995	0.000005
58152.636102	0.999943	0.000006
58152.860891	0.999900	0.000005
58153.146987	0.999914	0.000006
58153.371776	0.999837	0.000005
58153.617001	0.999770	0.000005
58153.882661	0.999792	0.000006
58154.117668	0.999770	0.000005
58154.383327	0.999762	0.000005
58154.608116	0.999772	0.000005
58154.873776	0.999785	0.000005
58155.119000	0.999720	0.000005
58155.354007	0.999736	0.000006
58155.599231	0.999727	0.000006
58155.905761	0.999776	0.000006
58156.099897	0.999754	0.000005
58156.375774	0.999770	0.000005
58156.600562	0.999821	0.000006
58156.866221	0.999863	0.000005
58157.101228	0.999910	0.000005
58157.377104	0.999954	0.000005
58157.601893	1.000007	0.000006
58157.836898	1.000063	0.000006
58158.102557	1.000046	0.000005
58158.368216	1.000128	0.000005
58158.623657	1.000244	0.000005
58158.848445	1.000267	0.000006
58159.114104	1.000315	0.000005
58159.369545	1.000396	0.000005
58159.604550	1.000405	0.000006
58159.870208	1.000400	0.000005
58160.105214	1.000418	0.000005
58160.360654	1.000371	0.000005
58160.626312	1.000320	0.000005
58160.871535	1.000288	0.000005
58161.116758	1.000231	0.000005
58161.372198	1.000203	0.000005
58161.627639	1.000175	0.000005
58161.903514	1.000088	0.000006
58162.128301	1.000029	0.000005
