time	flux	sflux
----	----	-----
58095.600434	1.001568	0.000008
58095.845659	1.001519	0.000010
58096.090885	1.002170	0.000008
58096.346328	1.002502	0.000011
58096.591553	1.002594	0.000008
58096.846996	1.003013	0.000008
58097.082004	1.003191	0.000010
58097.337447	1.003757	0.000009
58097.633761	1.003783	0.000010
58097.838116	1.003956	0.000009
58098.124213	1.004040	0.000010
58098.297914	1.004229	0.000012
58098.614664	1.004748	0.000009
58098.880325	1.004926	0.000010
58099.074463	1.005071	0.000009
58099.340124	1.005491	0.000009
58099.626221	1.005621	0.000009
58099.851011	1.005715	0.000009
58100.116673	1.005843	0.000009
58100.351681	1.005794	0.000010
58100.607125	1.005648	0.000008
58100.883004	1.005457	0.000010
58101.097577	1.005335	0.000009
58101.353021	1.005128	0.000009
58101.608465	1.004805	0.000009
58101.863909	1.004319	0.000009
58102.098918	1.004123	0.000008
58102.354362	1.003832	0.000010
58102.620024	1.003462	0.000010
58102.844815	1.003178	0.000010
58103.120695	1.002863	0.000009
58103.345486	1.002585	0.000012
58103.590712	1.002125	0.000008
58103.866592	1.001630	0.000011
58104.101601	1.001317	0.000009
58104.357045	1.000983	0.000009
58104.561401	1.000627	0.000011
58104.847499	1.000363	0.000010
58105.102943	0.999994	0.000009
58105.348170	0.999805	0.000008
58105.572961	0.999524	0.000009
58105.848841	0.999358	0.000009
58106.094068	0.998881	0.000009
58106.329077	0.998591	0.000009
58106.574304	0.998160	0.000009
58106.829749	0.997879	0.000010
58107.074976	0.997598	0.000009
58107.340639	0.997266	0.000009
58107.596084	0.996921	0.000008
58107.810657	0.996739	0.000009
58108.076320	0.996619	0.000009
58108.352200	0.996644	0.000008
58108.576992	0.996749	0.000009
58108.812001	0.996827	0.000009
58109.118535	0.996913	0.000009
58109.333109	0.997077	0.000009
58109.578336	0.997207	0.000009
58109.843999	0.997314	0.000008
58110.058573	0.997387	0.000009
58110.354890	0.997495	0.000009
58110.600117	0.997644	0.000009
58110.845344	0.997783	0.000009
58111.100789	0.997793	0.000008
58111.376670	0.997832	0.000009
58111.621898	0.997781	0.000009
58111.856907	0.997609	0.000009
58112.112353	0.997641	0.000008
58112.378016	0.997591	0.000009
58112.623243	0.997421	0.000009
58112.858253	0.997347	0.000010
58113.113698	0.997118	0.000009
58113.348708	0.996979	0.000008
58113.604154	0.996791	0.000008
58113.890252	0.996692	0.000010
58114.115044	0.996584	0.000009
58114.370490	0.996518	0.000009
58114.595282	0.996587	0.000009
58114.881381	0.996514	0.000011
58115.106173	0.996565	0.000009
58115.361618	0.996728	0.000008
58115.596628	0.996875	0.000009
58115.872510	0.997030	0.000009
58116.117737	0.997326	0.000009
58116.311876	0.997546	0.000009
58116.618411	0.998013	0.000011
58116.863638	0.998305	0.000009
58117.108866	0.998617	0.000009
58117.364312	0.999009	0.000008
58117.599322	0.999415	0.000009
58117.824114	0.999876	0.000009
58118.079560	1.000406	0.000009
58118.324787	1.000852	0.000010
58118.590451	1.001423	0.000009
58118.794808	1.001733	0.000012
58119.101342	1.001849	0.000008
58119.336352	1.002362	0.000009
