time	flux	sflux
----	----	-----
58100.137325	1.000013	0.000004
58100.392769	1.000080	0.000005
58100.627778	1.000051	0.000004
58100.893440	1.000249	0.000005
58101.138666	1.000124	0.000004
58101.394111	1.000180	0.000005
58101.649555	1.000094	0.000005
58101.894782	1.000104	0.000005
58102.119573	1.000131	0.000004
58102.395453	1.000099	0.000005
58102.620245	1.000153	0.000005
58102.865472	1.000055	0.000006
58103.131134	0.999964	0.000005
58103.376361	0.999982	0.000005
58103.642023	1.000163	0.000006
58103.846379	1.000074	0.000005
58104.091606	0.999981	0.000005
58104.377705	0.999944	0.000005
58104.612714	1.000091	0.000005
58104.868159	1.000069	0.000005
58105.082732	1.000102	0.000005
58105.368831	0.999838	0.000004
58105.603840	1.000006	0.000005
58105.889939	0.999837	0.000005
58106.114730	1.000028	0.000005
58106.339522	0.999990	0.000005
58106.605185	1.000040	0.000005
58106.881066	0.999854	0.000005
58107.105857	0.999813	0.000005
58107.351085	0.999921	0.000005
58107.637183	0.999877	0.000004
58107.861975	0.999858	0.000005
58108.107203	0.999990	0.000005
58108.372866	0.999967	0.000004
58108.597657	0.999924	0.000005
58108.883756	0.999930	0.000005
58109.118766	0.999858	0.000005
58109.374211	0.999954	0.000005
58109.609221	0.999993	0.000005
58109.874884	0.999964	0.000004
58110.140547	0.999991	0.000005
58110.385775	0.999971	0.000005
58110.641221	0.999963	0.000005
58110.886448	0.999962	0.000005
58111.131676	0.999994	0.000004
58111.397339	0.999971	0.000005
58111.642567	0.999979	0.000005
58111.877577	1.000009	0.000005
58112.143240	0.999956	0.000005
58112.378250	0.999923	0.000005
58112.643914	0.999875	0.000005
58112.899359	0.999842	0.000005
58113.134369	0.999814	0.000004
58113.389815	0.999834	0.000005
58113.624825	0.999853	0.000004
58113.890488	0.999841	0.000005
58114.125499	0.999897	0.000005
58114.391162	0.999934	0.000005
58114.605736	0.999895	0.000005
58114.902053	0.999995	0.000005
58115.116628	0.999936	0.000005
58115.382292	0.999953	0.000004
58115.617302	0.999987	0.000005
58115.862529	0.999997	0.000005
58116.128193	0.999938	0.000005
58116.322332	0.999954	0.000005
58116.639085	0.999863	0.000006
58116.863877	0.999968	0.000005
58117.098887	0.999908	0.000005
58117.344115	0.999937	0.000005
58117.609779	0.999993	0.000005
58117.865225	0.999950	0.000005
58118.100235	0.999998	0.000005
58118.355681	0.999950	0.000005
58118.580473	1.000062	0.000005
58118.784830	0.999925	0.000008
58119.173107	1.000022	0.000006
58119.326375	0.999982	0.000006
58119.612474	1.000047	0.000004
58119.847484	1.000129	0.000005
58120.092712	1.000068	0.000005
58120.358376	1.000126	0.000005
58120.603604	1.000117	0.000005
58120.807961	1.000171	0.000006
58121.124714	1.000044	0.000005
58121.390377	1.000062	0.000005
58121.594734	1.000164	0.000005
58121.839962	1.000116	0.000005
58122.105626	1.000079	0.000004
58122.371289	1.000060	0.000005
58122.616517	1.000054	0.000005
58122.841310	0.999939	0.000005
58123.117191	0.999944	0.000004
58123.382855	0.999891	0.000005
58123.638301	0.999942	0.000005
58123.883529	0.999978	0.000005
58124.118539	0.999954	0.000005
58124.373985	0.999950	0.000005
58124.629430	0.999976	0.000005
58124.813351	0.999993	0.000007
58125.109669	1.000099	0.000004
58125.375332	1.000041	0.000005
58125.630778	1.000023	0.000005
58125.886224	1.000026	0.000005
58126.131451	0.999995	0.000005
58126.386897	1.000057	0.000005
58126.672996	1.000094	0.000006
58126.867135	1.000080	0.000005
58127.122581	1.000002	0.000005
58127.378026	1.000082	0.000005
58127.633472	1.000072	0.000005
58127.878700	1.000103	0.000005
58128.113710	0.999979	0.000005
58128.379373	0.999823	0.000005
58128.634819	0.999694	0.000005
58128.859611	0.999300	0.000005
58129.115057	0.998978	0.000004
58129.350067	0.998553	0.000005
58129.605512	1.000002	0.000005
58129.850740	1.000075	0.000004
58130.116403	1.000224	0.000004
58130.351413	1.000110	0.000005
58130.576205	0.999906	0.000005
58130.892957	1.000076	0.000005
58131.138185	1.000190	0.000005
58131.352759	1.000236	0.000005
58131.608204	1.000233	0.000004
58131.843214	1.000256	0.000005
58132.098659	1.000212	0.000005
58132.354105	1.000118	0.000005
58132.629986	0.999982	0.000005
58132.875213	0.999910	0.000005
58133.140876	1.000085	0.000005
58133.355450	1.000060	0.000005
58133.590460	0.999967	0.000005
58133.856123	0.999975	0.000004
58134.091132	1.000055	0.000005
58134.356795	1.000071	0.000005
58134.602022	1.000009	0.000005
58134.857467	1.000071	0.000004
58135.102695	1.000035	0.000004
58135.327486	0.999935	0.000005
58135.623802	0.999931	0.000005
58135.848594	0.999914	0.000005
58136.104039	0.999901	0.000005
58136.359484	0.999920	0.000004
58136.614928	0.999958	0.000005
58136.860155	0.999965	0.000004
58137.125818	0.999969	0.000005
58137.350609	1.000053	0.000004
58137.626489	0.999985	0.000005
58137.861499	0.999872	0.000005
58138.096508	1.000017	0.000005
58138.331517	1.000024	0.000006
58138.627832	0.999902	0.000005
58138.873059	0.999969	0.000005
58139.108068	0.999887	0.000004
58139.353295	1.000034	0.000004
58139.608739	0.999957	0.000004
58139.864184	1.000031	0.000004
58140.140063	0.999861	0.000005
58140.354637	0.999932	0.000004
58140.620299	0.999817	0.000005
58140.875743	0.999831	0.000005
58141.110752	1.000075	0.000004
58141.366196	1.000097	0.000005
58141.601204	0.999894	0.000004
58141.856648	0.999948	0.000005
58142.132528	1.000055	0.000005
58142.357318	0.999937	0.000004
58142.612762	1.000029	0.000005
58142.847771	0.999997	0.000004
58143.082779	0.999918	0.000005
58143.348441	0.999976	0.000005
58143.603884	1.000033	0.000004
58143.849110	0.999905	0.000004
58144.094336	0.999947	0.000004
58144.349780	0.999949	0.000005
58144.574570	0.999958	0.000005
58144.830014	0.999906	0.000005
58145.105893	0.999896	0.000004
58145.340901	0.999893	0.000005
58145.606562	0.999922	0.000004
58145.841570	0.999902	0.000005
58146.076577	0.999910	0.000005
58146.342238	0.999945	0.000004
58146.607899	1.000000	0.000004
58146.822472	0.999960	0.000005
58147.108568	0.999919	0.000005
58147.333358	1.000033	0.000005
58147.609236	1.000003	0.000004
58147.844244	0.999995	0.000005
58148.099686	0.999989	0.000004
58148.324476	1.000017	0.000005
58148.600354	1.000009	0.000004
58148.804708	1.000026	0.000006
58149.121457	1.000073	0.000005
58149.346247	1.000070	0.000005
58149.601689	1.000014	0.000004
58149.877567	1.000026	0.000005
58150.081921	1.000017	0.000005
58150.408887	1.000090	0.000006
58150.582588	1.000072	0.000005
58150.868683	1.000069	0.000005
58151.113908	1.000043	0.000005
58151.369350	1.000112	0.000005
58151.594139	0.999965	0.000005
58151.849581	0.999967	0.000004
58152.115241	0.999964	0.000005
58152.370682	1.000043	0.000005
58152.626124	1.000018	0.000005
58152.861131	1.000030	0.000004
