time	flux	sflux
----	----	-----
58095.569817	0.999868	0.000006
58095.917219	0.999847	0.000007
58096.090921	0.999847	0.000005
58096.346364	0.999758	0.000006
58096.591590	0.999861	0.000005
58096.836815	0.999854	0.000005
58097.030952	0.999940	0.000008
58097.327267	0.999889	0.000006
58097.654234	0.999915	0.000006
58097.858589	0.999917	0.000005
58098.062944	1.000018	0.000006
58098.287734	1.000000	0.000006
58098.614702	1.000040	0.000005
58098.890581	1.000056	0.000006
58099.084719	1.000070	0.000005
58099.340162	1.000042	0.000005
58099.605824	1.000106	0.000005
58099.871486	1.000083	0.000005
58100.116712	1.000075	0.000005
58100.361938	1.000110	0.000005
58100.596946	1.000075	0.000005
58100.862608	1.000057	0.000006
58101.107834	1.000054	0.000005
58101.353061	0.999989	0.000005
58101.618723	1.000009	0.000005
58101.874167	1.000034	0.000005
58102.098958	0.999977	0.000006
58102.364620	0.999965	0.000005
58102.558758	1.000004	0.000006
58102.875509	1.000027	0.000005
58103.120735	0.999971	0.000005
58103.386398	0.999974	0.000006
58103.590753	1.000001	0.000005
58103.846198	0.999978	0.000007
58104.091424	0.999943	0.000006
58104.357087	0.999913	0.000005
58104.602314	0.999976	0.000006
58104.827105	1.000026	0.000006
58105.092767	0.999998	0.000005
58105.368647	0.999945	0.000005
58105.573003	0.999994	0.000005
58105.838666	1.000004	0.000005
58106.094111	1.000001	0.000005
58106.339338	1.000017	0.000006
58106.574347	1.000000	0.000005
58106.840009	0.999978	0.000005
58107.085237	1.000009	0.000005
58107.330464	1.000026	0.000005
58107.596127	1.000026	0.000005
58107.820918	1.000039	0.000005
58108.107017	0.999976	0.000006
58108.331808	1.000023	0.000005
58108.577035	0.999928	0.000006
58108.842698	0.999967	0.000005
58109.098143	0.999973	0.000005
58109.333153	1.000006	0.000005
58109.588598	1.000029	0.000006
58109.854261	1.000035	0.000005
58110.079053	1.000019	0.000006
58110.385587	0.999974	0.000006
58110.630815	0.999988	0.000006
58110.814735	0.999980	0.000006
58111.131488	1.000012	0.000005
58111.386933	0.999996	0.000006
58111.621943	0.999971	0.000005
58111.856952	0.999987	0.000005
58112.153269	0.999995	0.000006
58112.378061	0.999978	0.000005
58112.633506	1.000006	0.000006
58112.868516	0.999999	0.000005
58113.103526	1.000007	0.000005
58113.338536	0.999980	0.000005
58113.614417	0.999988	0.000005
58113.869863	0.999979	0.000005
58114.125308	0.999971	0.000005
58114.380754	0.999990	0.000005
58114.595328	0.999986	0.000006
58114.891645	0.999964	0.000006
58115.116437	0.999981	0.000005
58115.341229	0.999955	0.000006
58115.627328	1.000003	0.000005
58115.862338	0.999986	0.000006
58116.128002	0.999971	0.000005
58116.322140	0.999983	0.000006
58116.618457	0.999999	0.000006
58116.863685	1.000020	0.000005
58117.098695	1.000016	0.000005
58117.354141	0.999973	0.000005
58117.609587	0.999972	0.000006
58117.844597	1.000010	0.000005
58118.089825	1.000012	0.000005
58118.355488	1.000010	0.000005
58118.600716	0.999984	0.000006
58118.784637	0.999964	0.000007
58119.142261	1.000013	0.000006
58119.387489	0.999987	0.000007
58119.602063	1.000027	0.000005
58119.826856	1.000020	0.000006
58120.082301	1.000038	0.000005
58120.337747	1.000081	0.000005
58120.603411	1.000082	0.000005
58120.817985	1.000070	0.000006
58121.104085	1.000025	0.000005
58121.339095	1.000067	0.000005
58121.635412	1.000099	0.000006
58121.839768	1.000077	0.000005
58122.105432	1.000099	0.000005
58122.340442	1.000089	0.000005
58122.616324	1.000062	0.000005
58122.841116	1.000067	0.000005
58123.086344	1.000074	0.000005
58123.362225	1.000047	0.000005
58123.638107	1.000073	0.000005
58123.883335	1.000059	0.000005
58124.118345	1.000081	0.000005
58124.384009	1.000058	0.000005
58124.639454	1.000042	0.000005
58124.894900	1.000019	0.000006
58125.109475	1.000014	0.000005
58125.385356	0.999985	0.000005
58125.630584	0.999986	0.000005
58125.875812	0.999989	0.000006
58126.121040	0.999996	0.000006
58126.386703	0.999988	0.000005
58126.672803	0.999984	0.000006
58126.866941	0.999981	0.000005
58127.112169	1.000004	0.000005
58127.367615	0.999970	0.000005
58127.633278	0.999957	0.000005
58127.898942	0.999948	0.000006
58128.123734	1.000006	0.000005
58128.379180	0.999923	0.000006
58128.634625	0.999979	0.000005
58128.879853	0.999951	0.000006
58129.145517	0.999895	0.000006
58129.349873	0.999884	0.000005
58129.635972	0.999799	0.000006
58129.891418	0.999929	0.000005
58130.116210	0.999889	0.000005
58130.361437	0.999892	0.000005
58130.616883	0.999827	0.000005
58130.872328	0.999938	0.000005
58131.117556	0.999933	0.000005
58131.373002	0.999899	0.000005
58131.628447	0.999922	0.000005
58131.853239	0.999923	0.000005
58132.118902	0.999869	0.000005
58132.364130	0.999887	0.000005
58132.609357	0.999884	0.000005
58132.864803	0.999918	0.000005
58133.130466	0.999962	0.000005
58133.365475	0.999963	0.000005
58133.610703	0.999956	0.000005
58133.876366	0.999915	0.000005
58134.101158	0.999920	0.000005
58134.356603	0.999939	0.000005
58134.601830	0.999922	0.000005
58134.826622	0.999976	0.000007
58135.122939	0.999907	0.000005
58135.368166	0.999991	0.000005
58135.613393	0.999971	0.000005
58135.858620	0.999969	0.000005
58136.144719	0.999989	0.000005
58136.369510	1.000037	0.000005
58136.645391	1.000006	0.000006
58136.859965	0.999983	0.000005
58137.135845	1.000032	0.000005
58137.370855	1.000020	0.000005
58137.636517	1.000003	0.000005
58137.861309	0.999973	0.000005
58138.137189	1.000004	0.000005
58138.372198	1.000008	0.000005
58138.627643	0.999960	0.000006
58138.883088	0.999989	0.000005
58139.128315	1.000008	0.000005
58139.373541	1.000024	0.000005
58139.628986	1.000008	0.000005
58139.874213	1.000029	0.000005
58140.190964	0.999935	0.000008
58140.385102	1.000024	0.000005
58140.640546	0.999989	0.000005
58140.875555	1.000058	0.000005
58141.131000	0.999975	0.000005
58141.386444	1.000043	0.000005
58141.621453	0.999964	0.000005
58141.887115	0.999973	0.000007
58142.132341	1.000024	0.000005
58142.387785	0.999974	0.000006
58142.622794	1.000108	0.000005
58142.868020	1.000041	0.000005
58143.113247	1.000035	0.000005
58143.368691	0.999985	0.000006
58143.613917	1.000004	0.000005
58143.889796	0.999974	0.000006
58144.114587	0.999958	0.000005
58144.370031	0.999999	0.000005
58144.594821	0.999997	0.000006
58144.850265	0.999986	0.000005
58145.126144	0.999987	0.000005
58145.371370	0.999954	0.000005
58145.626814	0.999977	0.000005
58145.882258	0.999977	0.000005
58146.107048	0.999969	0.000005
58146.372709	0.999973	0.000005
58146.638370	1.000032	0.000005
58146.852943	1.000070	0.000005
58147.118604	1.000064	0.000005
58147.384265	1.000042	0.000005
58147.639708	1.000077	0.000005
58147.864498	1.000049	0.000005
58148.130159	1.000076	0.000005
58148.385602	1.000054	0.000005
58148.630827	1.000057	0.000005
58148.824964	1.000058	0.000006
58149.141713	1.000081	0.000005
58149.407374	1.000038	0.000005
58149.621946	1.000030	0.000005
58149.928477	1.000093	0.000006
58150.153267	1.000054	0.000005
58150.408710	1.000109	0.000005
58150.633499	1.000054	0.000005
58150.899159	1.000100	0.000005
58151.123949	1.000069	0.000005
58151.410044	1.000072	0.000005
58151.634834	1.000070	0.000005
58151.859623	1.000146	0.000006
58152.145718	1.000059	0.000005
58152.401160	1.000068	0.000005
58152.656603	1.000133	0.000006
58152.871174	1.000031	0.000005
58153.136834	1.000130	0.000006
58153.382058	1.000070	0.000005
58153.617065	1.000018	0.000005
58153.882724	1.000070	0.000005
58154.138166	0.999986	0.000005
58154.393608	1.000061	0.000005
58154.618396	1.000044	0.000005
58154.884056	1.000042	0.000005
58155.139497	1.000052	0.000006
58155.364286	1.000000	0.000005
58155.619727	1.000036	0.000005
58155.885386	1.000018	0.000005
58156.110174	1.000058	0.000005
58156.375833	1.000031	0.000005
58156.621057	1.000049	0.000005
58156.886716	1.000031	0.000005
58157.101286	1.000038	0.000006
58157.397598	1.000008	0.000005
58157.622386	0.999991	0.000005
58157.867609	0.999974	0.000005
58158.082179	0.999901	0.000006
58158.429578	0.999971	0.000006
58158.644149	0.999935	0.000005
58158.879154	0.999903	0.000006
58159.134594	0.999861	0.000005
58159.369600	0.999878	0.000005
58159.645475	0.999857	0.000006
58159.900915	0.999855	0.000005
58160.125703	0.999883	0.000005
58160.411796	0.999865	0.000007
58160.636583	0.999908	0.000005
58160.892023	0.999919	0.000005
58161.147463	0.999936	0.000005
58161.382468	0.999974	0.000005
58161.637907	0.999951	0.000005
58161.913782	0.999978	0.000005
58162.159004	0.999922	0.000005
58162.383791	0.999913	0.000005
58162.659666	0.999912	0.000005
58162.884452	0.999923	0.000005
58163.150109	0.999941	0.000005
58163.364678	0.999955	0.000006
58163.640553	0.999971	0.000005
58163.895992	0.999957	0.000005
58164.151431	0.999980	0.000005
58164.386434	0.999961	0.000005
58164.641873	0.999981	0.000005
58164.897312	0.999951	0.000005
58165.122098	0.999978	0.000005
58165.408189	0.999923	0.000005
58165.643193	0.999933	0.000005
58165.898631	0.999982	0.000005
58166.154070	1.000041	0.000006
58166.389073	1.000030	0.000005
58166.624076	1.000023	0.000005
58166.879514	1.000052	0.000005
58167.145170	1.000050	0.000005
58167.390390	0.999999	0.000005
58167.604958	0.999951	0.000006
58167.880831	0.999997	0.000005
58168.136269	1.000002	0.000005
58168.391706	0.999974	0.000005
58168.626709	0.999937	0.000005
58168.882146	1.000009	0.000005
58169.127366	0.999973	0.000005
58169.403238	1.000015	0.000005
58169.617806	1.000027	0.000005
58169.893678	1.000030	0.000005
58170.149115	1.000038	0.000005
58170.363682	1.000038	0.000006
58170.649771	1.000001	0.000005
58170.854121	0.999982	0.000006
58171.140210	1.000000	0.000005
58171.446734	0.999991	0.000007
58171.620430	0.999985	0.000005
58171.886084	1.000040	0.000005
58172.182390	1.000039	0.000006
58172.345870	1.000075	0.000006
58172.652393	1.000033	0.000005
58172.918047	1.000034	0.000005
58173.153048	1.000037	0.000005
58173.418701	1.000028	0.000005
58173.663919	1.000036	0.000005
58173.909138	1.000006	0.000005
58174.154356	1.000006	0.000005
58174.420009	1.000027	0.000005
58174.655009	1.000066	0.000006
