time	flux	sflux
----	----	-----
58095.590343	0.998557	0.000012
58095.835569	0.998199	0.000015
58096.080794	0.997205	0.000013
58096.336238	0.996704	0.000016
58096.591681	0.996257	0.000012
58096.847125	0.996324	0.000013
58097.082133	0.996416	0.000015
58097.327359	0.996472	0.000013
58097.633891	0.997340	0.000015
58097.838246	0.998579	0.000013
58098.093690	0.999273	0.000014
58098.287828	0.999800	0.000017
58098.614796	1.001172	0.000013
58098.880458	1.002567	0.000015
58099.095030	1.002719	0.000013
58099.350475	1.004273	0.000013
58099.605919	1.004876	0.000013
58099.861363	1.005074	0.000013
58100.116807	1.005533	0.000014
58100.362033	1.005697	0.000014
58100.597042	1.005368	0.000012
58100.872922	1.004736	0.000014
58101.118148	1.004109	0.000014
58101.353157	1.003413	0.000013
58101.618819	1.002240	0.000013
58101.884482	1.001453	0.000015
58102.109273	1.000613	0.000013
58102.364717	0.999267	0.000014
58102.599726	0.998203	0.000012
58102.875606	0.997081	0.000014
58103.120833	0.995629	0.000014
58103.355842	0.994164	0.000013
58103.580633	0.993505	0.000013
58103.846296	0.992178	0.000015
58104.091523	0.991177	0.000015
58104.357185	0.990605	0.000013
58104.581977	0.989998	0.000013
58104.837422	0.989472	0.000014
58105.072431	0.989697	0.000015
58105.348311	0.989725	0.000013
58105.562885	0.989358	0.000015
58105.848984	0.989685	0.000012
58106.104429	0.989828	0.000014
58106.329220	0.989996	0.000014
58106.574447	0.990491	0.000014
58106.840110	0.991023	0.000013
58107.085338	0.991411	0.000014
58107.330565	0.991946	0.000014
58107.596228	0.992905	0.000013
58107.831237	0.993879	0.000013
58108.086683	0.994878	0.000014
58108.352346	0.996408	0.000013
58108.587355	0.998530	0.000017
58108.832583	0.999055	0.000013
58109.098246	1.001177	0.000013
58109.333256	1.002594	0.000014
58109.588701	1.004441	0.000015
58109.854364	1.005564	0.000012
58110.109809	1.006537	0.000014
58110.355037	1.007621	0.000014
58110.600265	1.008223	0.000014
58110.876146	1.008848	0.000013
58111.152027	1.009298	0.000016
58111.376819	1.008960	0.000014
58111.622047	1.008618	0.000014
58111.846839	1.008346	0.000013
58112.112502	1.007536	0.000013
58112.378165	1.006526	0.000014
58112.623393	1.005537	0.000014
58112.878839	1.004398	0.000015
58113.113849	1.002868	0.000013
58113.359076	1.001528	0.000013
58113.604304	1.000127	0.000013
58113.869968	0.998449	0.000014
58114.125414	0.996769	0.000013
58114.380859	0.995490	0.000014
58114.595434	0.994171	0.000015
58114.891751	0.993131	0.000015
58115.116543	0.992230	0.000013
58115.371989	0.991144	0.000013
