time	flux	sflux
----	----	-----
58095.600431	0.999905	0.000002
58095.855874	0.999987	0.000002
58096.111317	0.999963	0.000002
58096.366760	0.999921	0.000002
58096.611986	0.999921	0.000002
58096.857211	0.999981	0.000002
58097.184179	0.999877	0.000003
58097.327227	1.000038	0.000002
58097.654194	0.999969	0.000002
58097.889202	0.999922	0.000002
58098.134428	1.000048	0.000002
58098.308130	0.999971	0.000003
58098.624880	1.000014	0.000002
58098.890541	1.000002	0.000002
58099.115332	1.000000	0.000002
58099.380993	1.000032	0.000002
58099.626219	0.999919	0.000002
58099.871445	0.999854	0.000002
58100.137107	0.999899	0.000002
58100.382333	0.999926	0.000002
58100.617341	0.999934	0.000002
58100.893221	0.999946	0.000002
58101.138447	0.999980	0.000002
58101.383674	0.999996	0.000002
58101.618682	0.999992	0.000002
58101.884344	1.000035	0.000002
58102.119353	0.999971	0.000002
58102.385015	1.000026	0.000002
58102.609806	1.000027	0.000002
58102.875468	1.000051	0.000002
58103.130912	1.000020	0.000002
58103.386356	1.000046	0.000002
58103.590712	1.000071	0.000002
58103.846156	1.000069	0.000002
58104.101601	1.000138	0.000002
58104.367263	1.000162	0.000002
58104.592054	1.000146	0.000002
58104.847499	1.000170	0.000002
58105.113161	1.000160	0.000002
58105.368606	1.000222	0.000002
58105.593397	1.000178	0.000002
58105.869277	1.000222	0.000002
58106.114505	1.000152	0.000002
58106.349514	1.000132	0.000002
58106.594741	1.000109	0.000002
58106.850185	1.000057	0.000002
58107.095412	0.999977	0.000002
58107.350857	0.999926	0.000002
58107.616520	0.999919	0.000002
58107.841312	0.999917	0.000002
58108.096757	0.999899	0.000002
58108.372637	0.999880	0.000002
58108.597429	0.999878	0.000002
58108.842656	0.999811	0.000002
58109.108319	0.999816	0.000002
58109.373982	0.999715	0.000002
58109.619209	0.999706	0.000002
58109.864437	0.999669	0.000002
58110.140317	0.999740	0.000002
58110.395763	0.999768	0.000002
58110.640990	0.999823	0.000002
58110.886218	0.999859	0.000002
58111.131445	0.999883	0.000002
58111.397108	0.999966	0.000002
58111.642336	1.000052	0.000002
58111.867128	1.000050	0.000002
58112.143009	1.000091	0.000002
58112.398454	1.000065	0.000002
58112.643682	1.000072	0.000002
58112.888909	1.000040	0.000002
58113.123919	1.000012	0.000002
58113.369146	0.999929	0.000002
58113.634810	0.999840	0.000002
58113.890255	0.999850	0.000002
58114.145701	0.999875	0.000002
58114.390929	0.999984	0.000002
58114.605503	0.999999	0.000003
58114.901820	1.000003	0.000002
58115.126612	1.000037	0.000002
58115.392275	1.000148	0.000002
58115.627285	1.000124	0.000002
58115.872513	1.000198	0.000002
58116.127959	1.000182	0.000002
58116.322097	1.000165	0.000003
58116.618414	1.000094	0.000002
58116.863642	1.000066	0.000002
58117.098652	1.000077	0.000002
58117.364316	1.000016	0.000002
58117.609544	0.999953	0.000002
58117.864989	0.999900	0.000002
58118.099999	0.999907	0.000002
58118.355445	0.999959	0.000002
58118.600673	0.999973	0.000002
58118.794812	0.999982	0.000004
58119.152436	1.000055	0.000002
58119.356792	1.000055	0.000002
58119.612238	1.000123	0.000002
58119.857466	1.000205	0.000002
58120.102694	1.000195	0.000002
58120.347922	1.000271	0.000002
58120.613586	1.000318	0.000002
58120.807724	1.000288	0.000003
58121.124477	1.000251	0.000002
58121.359487	1.000160	0.000002
58121.604715	1.000214	0.000002
58121.880597	1.000156	0.000002
58122.115607	1.000102	0.000002
58122.371053	1.000067	0.000002
58122.646934	1.000041	0.000002
58122.912598	0.999974	0.000002
58123.137390	0.999953	0.000002
58123.362183	0.999904	0.000002
58123.638064	0.999921	0.000002
58123.893510	1.000001	0.000002
58124.138738	1.000081	0.000002
58124.383966	1.000147	0.000002
58124.639411	1.000087	0.000002
58124.935729	1.000117	0.000003
58125.129867	1.000091	0.000002
58125.395531	1.000019	0.000002
58125.640759	1.000008	0.000002
58125.885987	0.999913	0.000002
58126.151650	0.999881	0.000002
58126.396878	0.999850	0.000002
58126.652324	0.999828	0.000002
58126.877116	0.999791	0.000002
58127.122344	0.999812	0.000002
58127.398226	0.999816	0.000002
58127.633236	0.999847	0.000002
58127.898899	0.999853	0.000002
58128.133909	0.999885	0.000002
58128.379137	0.999869	0.000002
58128.634583	0.999849	0.000002
58128.869593	0.999834	0.000002
58129.135256	0.999712	0.000002
58129.360048	0.999644	0.000002
58129.625712	0.999780	0.000002
58129.870940	0.999860	0.000002
58130.126385	0.999853	0.000002
58130.381831	0.999942	0.000002
58130.616841	0.999859	0.000002
58130.872286	0.999886	0.000002
58131.127732	0.999897	0.000002
58131.383177	0.999887	0.000002
58131.628405	0.999880	0.000002
58131.873633	0.999833	0.000002
58132.129078	0.999844	0.000002
58132.384523	0.999948	0.000002
58132.619533	0.999916	0.000002
58132.874979	0.999867	0.000002
58133.130424	0.999966	0.000002
58133.385869	1.000021	0.000002
58133.620879	1.000023	0.000002
58133.876324	0.999991	0.000002
58134.121552	1.000057	0.000002
58134.387215	1.000082	0.000002
58134.612007	1.000087	0.000002
58134.877670	1.000185	0.000002
58135.122897	1.000189	0.000002
58135.398778	1.000176	0.000002
58135.633787	1.000130	0.000002
58135.879015	1.000105	0.000002
58136.144678	1.000048	0.000002
58136.379687	0.999985	0.000002
58136.655568	0.999963	0.000002
58136.880359	0.999986	0.000002
58137.146022	0.999968	0.000002
58137.381031	0.999948	0.000002
58137.656912	0.999909	0.000002
58137.881703	0.999884	0.000002
58138.126930	0.999885	0.000002
58138.382375	0.999936	0.000002
58138.648038	0.999955	0.000002
58138.883047	0.999934	0.000002
58139.128274	0.999908	0.000002
58139.383719	0.999891	0.000002
58139.649381	0.999958	0.000002
58139.884390	1.000033	0.000002
58140.150052	1.000037	0.000002
58140.385061	1.000064	0.000002
58140.660942	1.000146	0.000002
58140.885733	1.000118	0.000002
58141.130959	1.000147	0.000002
58141.386404	1.000225	0.000002
58141.621413	1.000220	0.000002
58141.856421	1.000258	0.000002
58142.132301	1.000308	0.000002
58142.367310	1.000327	0.000002
58142.632972	1.000408	0.000002
58142.888416	1.000362	0.000002
58143.113207	1.000353	0.000002
58143.378869	1.000273	0.000002
58143.634313	1.000283	0.000002
58143.889757	1.000176	0.000002
58144.124765	1.000050	0.000002
58144.369992	1.000064	0.000002
58144.615218	1.000080	0.000002
58144.870662	1.000049	0.000002
58145.136323	1.000012	0.000002
58145.361114	0.999986	0.000002
58145.636993	0.999957	0.000002
58145.892437	0.999925	0.000002
58146.117227	1.000007	0.000002
58146.372670	1.000013	0.000002
58146.628114	0.999956	0.000002
58146.863122	0.999958	0.000002
58147.128783	0.999992	0.000002
58147.384227	0.999930	0.000002
58147.629452	0.999938	0.000002
58147.884895	0.999919	0.000002
58148.140339	0.999902	0.000002
58148.385564	0.999968	0.000002
58148.630790	1.000035	0.000002
58148.855579	1.000126	0.000003
58149.151893	1.000131	0.000002
