time	flux	sflux
----	----	-----
58100.147881	1.000296	0.000027
58100.403326	1.000573	0.000028
58100.628117	1.000493	0.000026
58100.893779	1.000425	0.000028
58101.139006	1.000630	0.000026
58101.394451	1.000671	0.000027
58101.649896	1.000591	0.000028
58101.895123	1.000441	0.000028
58102.119915	1.000432	0.000026
58102.406013	1.000202	0.000028
58102.610369	1.000177	0.000028
58102.876032	1.000217	0.000028
58103.131477	1.000088	0.000027
58103.397140	1.000160	0.000027
58103.601496	1.000211	0.000030
58103.846723	1.000099	0.000030
58104.091951	1.000144	0.000030
58104.378049	0.999988	0.000025
58104.623277	1.000004	0.000030
58104.848068	0.999924	0.000030
58105.103514	0.999624	0.000028
58105.379395	0.999537	0.000025
58105.624622	0.999521	0.000030
58105.880067	0.999512	0.000026
58106.115077	0.999694	0.000027
58106.360304	0.999796	0.000027
58106.636186	0.999688	0.000032
58106.871195	0.998989	0.000027
58107.116423	0.999042	0.000027
58107.351433	0.999182	0.000028
58107.617096	0.999316	0.000026
58107.862324	0.999352	0.000028
58108.107551	0.999113	0.000028
58108.373215	0.999112	0.000026
58108.608224	0.999015	0.000027
58108.884105	0.999024	0.000028
58109.119115	0.999107	0.000027
58109.405214	0.999294	0.000029
58109.650442	0.999431	0.000027
58109.885452	0.999596	0.000025
58110.151116	0.999508	0.000028
58110.396343	0.999723	0.000028
58110.651789	0.999679	0.000027
58110.907235	1.000141	0.000028
58111.142245	0.999941	0.000027
58111.397690	1.000024	0.000028
58111.642918	1.000128	0.000028
58111.877928	1.000229	0.000024
58112.143592	1.000324	0.000027
58112.399037	1.000291	0.000028
58112.654483	1.000519	0.000029
58112.909929	1.000598	0.000028
58113.144939	1.000835	0.000026
58113.379949	1.000945	0.000025
58113.625177	1.000876	0.000025
58113.911276	1.000918	0.000028
58114.156504	1.001010	0.000028
58114.401732	1.000940	0.000028
58114.595871	1.000856	0.000033
58114.902406	1.001050	0.000029
58115.147634	1.000904	0.000026
58115.392862	1.000884	0.000026
58115.617654	1.000855	0.000026
58115.873100	1.000726	0.000028
58116.138763	1.000631	0.000025
58116.322684	1.000562	0.000036
58116.619002	1.000403	0.000029
58116.874447	1.000429	0.000028
58117.109457	1.000532	0.000026
58117.385339	1.000380	0.000025
58117.599913	1.000410	0.000029
58117.865577	1.000268	0.000027
58118.110805	1.000222	0.000027
58118.376468	1.000080	0.000026
58118.601261	1.000079	0.000029
58118.815835	0.999832	0.000036
58119.142806	0.999655	0.000028
58119.357380	0.999730	0.000026
58119.633262	0.999755	0.000025
58119.858054	0.999576	0.000028
58120.103282	0.999392	0.000028
58120.358728	0.999315	0.000026
58120.624391	0.999239	0.000026
58120.869619	0.999301	0.000033
58121.125065	0.999262	0.000025
58121.380511	0.999455	0.000024
58121.635956	0.999369	0.000028
58121.881184	0.999163	0.000028
58122.116194	0.999420	0.000026
58122.371640	0.999292	0.000028
58122.647521	0.999342	0.000026
58122.882531	0.999171	0.000028
58123.137977	0.999315	0.000026
58123.372987	0.999290	0.000025
58123.648868	0.999102	0.000026
58123.904314	0.999237	0.000028
58124.129106	0.999228	0.000025
58124.394769	0.999062	0.000028
58124.650215	0.998953	0.000026
58124.905660	0.999082	0.000028
58125.130453	0.999055	0.000025
58125.396116	0.999094	0.000028
58125.641344	0.999012	0.000025
58125.907007	0.999007	0.000028
58126.142017	0.998948	0.000029
58126.397462	0.998971	0.000028
58126.642690	0.999184	0.000028
58126.877700	0.999279	0.000026
58127.133145	0.999272	0.000025
58127.398808	0.999442	0.000028
58127.633818	0.999498	0.000026
58127.899481	0.999447	0.000026
58128.134491	0.999201	0.000028
58128.379718	0.999588	0.000028
58128.635163	0.999768	0.000026
58128.880391	0.999460	0.000029
58129.135836	0.999672	0.000025
58129.360628	0.999380	0.000028
58129.626291	0.999752	0.000025
58129.871518	0.999781	0.000025
58130.126963	1.000175	0.000024
58130.382408	1.000131	0.000025
58130.617418	0.999911	0.000026
58130.872863	1.000279	0.000025
58131.128308	1.000402	0.000024
58131.383753	1.000279	0.000025
58131.628980	1.000280	0.000025
58131.874207	1.000212	0.000025
58132.129652	1.000222	0.000024
58132.385097	1.000206	0.000025
58132.620106	0.999989	0.000026
58132.885769	1.000496	0.000026
58133.130996	1.000446	0.000024
58133.386441	1.000307	0.000025
58133.641885	1.000215	0.000026
58133.876894	1.000070	0.000025
58134.101686	0.999959	0.000027
58134.377566	1.000112	0.000024
58134.622793	1.000059	0.000026
58134.878237	1.000074	0.000025
58135.123464	0.999969	0.000025
58135.399344	0.999993	0.000026
58135.634353	0.999827	0.000025
58135.869362	0.999714	0.000026
58136.145242	0.999846	0.000027
58136.380250	0.999761	0.000024
58136.656130	0.999851	0.000027
58136.870703	0.999799	0.000026
58137.146583	0.999721	0.000027
58137.371374	0.999845	0.000025
58137.647254	0.999734	0.000026
58137.882262	0.999656	0.000025
58138.127489	0.999748	0.000025
58138.372715	0.999830	0.000025
58138.638376	0.999985	0.000025
58138.883603	0.999682	0.000025
58139.128829	0.999777	0.000025
58139.374055	1.000085	0.000025
58139.639716	1.000058	0.000025
58139.884942	1.000120	0.000025
58140.160822	0.999995	0.000029
58140.365177	1.000428	0.000026
58140.651273	1.000522	0.000026
58140.886281	1.000347	0.000025
58141.131507	0.999595	0.000025
58141.386951	1.000173	0.000026
58141.621959	0.999905	0.000025
58141.856967	1.000083	0.000029
58142.143063	1.000899	0.000026
58142.367853	1.000483	0.000026
58142.623296	1.000983	0.000025
58142.878740	1.000578	0.000024
58143.113747	1.000444	0.000027
58143.379408	1.000871	0.000025
58143.614416	1.000525	0.000026
58143.880076	1.000184	0.000024
58144.125301	1.000063	0.000027
58144.360309	1.000036	0.000027
58144.585099	1.000103	0.000031
58144.840541	1.000480	0.000029
58145.126637	1.000615	0.000024
58145.351427	1.000510	0.000029
58145.637523	1.000269	0.000026
58145.872530	1.000129	0.000025
58146.107537	0.999982	0.000026
58146.373197	0.999715	0.000026
58146.628639	0.999705	0.000025
58146.853428	0.999822	0.000027
58147.119088	0.999751	0.000025
58147.384748	0.999617	0.000027
58147.629973	0.999733	0.000025
58147.864979	0.999569	0.000026
58148.130639	0.999543	0.000024
58148.386081	0.999490	0.000028
58148.631305	0.999724	0.000025
58148.825441	0.999626	0.000033
58149.121754	0.999792	0.000025
58149.397631	0.999394	0.000026
58149.632637	0.999554	0.000025
58149.908514	0.999347	0.000029
58150.123085	0.999568	0.000025
58150.398962	0.999681	0.000026
58150.633968	1.000095	0.000025
58150.899627	0.999701	0.000027
58151.124415	1.000133	0.000025
58151.410509	0.999455	0.000027
58151.635297	0.999741	0.000025
58151.870303	1.000238	0.000026
58152.135962	0.999978	0.000026
58152.391403	0.999722	0.000027
58152.646844	1.000265	0.000029
58152.871632	0.999788	0.000026
58153.147508	1.000429	0.000027
58153.372295	1.000289	0.000025
58153.597083	0.999691	0.000027
58153.893394	1.000745	0.000026
58154.118182	1.000208	0.000026
58154.383840	1.000896	0.000026
58154.608627	1.000351	0.000026
58154.884503	1.000839	0.000025
58155.129725	1.000871	0.000025
58155.354512	1.000346	0.000027
58155.589517	1.000578	0.000029
58155.896045	1.000775	0.000026
58156.100397	1.000812	0.000029
58156.376272	1.000806	0.000025
58156.601059	1.000693	0.000027
58156.876934	1.000939	0.000024
58157.111938	1.001174	0.000027
58157.387813	1.000752	0.000026
58157.602382	1.000958	0.000027
58157.857822	1.000866	0.000026
58158.123479	1.000733	0.000026
58158.378918	1.000871	0.000025
58158.624139	1.000966	0.000025
58158.859143	1.000971	0.000029
58159.155452	1.001032	0.000027
58159.380239	1.001074	0.000025
58159.605025	1.001203	0.000027
58159.870681	1.000858	0.000025
58160.115902	1.001051	0.000025
58160.371341	1.000962	0.000026
58160.636997	1.000915	0.000026
58160.872000	1.001039	0.000025
58161.158091	1.001138	0.000028
58161.382877	1.001015	0.000025
58161.628098	1.001273	0.000025
58161.893753	1.000950	0.000027
58162.118539	1.000426	0.000027
58162.384194	1.000412	0.000025
58162.619197	1.000651	0.000026
58162.874635	1.000657	0.000025
58163.130072	1.000618	0.000024
58163.385510	1.000556	0.000025
58163.620512	1.000360	0.000026
58163.875950	1.000056	0.000025
58164.131387	0.999903	0.000026
58164.366390	0.999754	0.000025
58164.632044	0.999988	0.000025
58164.877264	1.000092	0.000025
58165.122483	1.000288	0.000025
58165.388138	0.999703	0.000025
58165.633357	1.000203	0.000025
58165.878576	1.000636	0.000025
58166.123796	1.000810	0.000031
58166.379232	1.000816	0.000024
58166.644886	1.000811	0.000026
58166.869670	1.000832	0.000026
58167.135324	1.000459	0.000026
58167.360108	1.000083	0.000026
58167.595109	0.999977	0.000028
58167.870980	0.999748	0.000026
58168.126416	0.999835	0.000025
58168.371634	0.999991	0.000025
58168.627070	0.999964	0.000024
58168.882506	1.000060	0.000025
58169.097072	1.000293	0.000029
58169.372942	1.000175	0.000025
58169.607943	1.000265	0.000026
58169.873595	1.000177	0.000026
58170.129030	1.000219	0.000025
58170.353813	1.000140	0.000028
58170.629683	1.000259	0.000024
58170.864683	1.000261	0.000028
58171.130336	1.000073	0.000025
58171.355118	0.999690	0.000028
58171.590118	1.000054	0.000029
58171.865987	1.000044	0.000025
58172.121422	1.000284	0.000026
58172.356422	1.000283	0.000028
58172.611856	1.000337	0.000026
58172.857073	1.000295	0.000026
58173.132941	1.000207	0.000025
58173.378158	0.999660	0.000028
58173.623374	1.000059	0.000028
58173.899243	1.000129	0.000026
58174.164894	1.000298	0.000029
58174.410110	1.000341	0.000029
58174.645109	1.000306	0.000028
