time	flux	sflux
----	----	-----
58100.147367	0.999824	0.000006
58100.402811	0.999829	0.000007
58100.627602	0.999859	0.000006
58100.893264	0.999786	0.000007
58101.138490	0.999802	0.000006
58101.393935	0.999800	0.000006
58101.649379	0.999732	0.000007
58101.894605	0.999839	0.000007
58102.119396	0.999667	0.000006
58102.395276	0.999701	0.000006
58102.599631	0.999714	0.000007
58102.875511	0.999703	0.000007
58103.130956	0.999836	0.000006
58103.396618	0.999729	0.000006
58103.611191	0.999803	0.000007
58103.846200	0.999779	0.000007
58104.111863	0.999823	0.000006
58104.387743	0.999969	0.000006
58104.612534	0.999871	0.000007
58104.857761	0.999880	0.000007
58105.113206	0.999831	0.000006
58105.378868	1.000018	0.000006
58105.613877	0.999926	0.000007
58105.879540	1.000118	0.000006
58106.114549	1.000002	0.000006
58106.359776	1.000051	0.000006
58106.615221	1.000246	0.000007
58106.870666	0.999756	0.000006
58107.105675	0.999868	0.000007
58107.361120	0.999979	0.000006
58107.637001	1.000023	0.000006
58107.861792	1.000111	0.000007
58108.107020	1.000138	0.000007
58108.382900	1.000141	0.000006
58108.689434	1.000108	0.000008
58108.883573	1.000143	0.000007
58109.118582	1.000149	0.000006
58109.374027	1.000140	0.000007
58109.649908	1.000148	0.000006
58109.884918	1.000137	0.000006
58110.150581	1.000158	0.000007
58110.406026	1.000200	0.000007
58110.661471	1.000211	0.000007
58110.906699	1.000256	0.000007
58111.141709	1.000212	0.000006
58111.397154	1.000266	0.000007
58111.652599	1.000237	0.000006
58111.887609	1.000294	0.000006
58112.143055	1.000269	0.000006
58112.418936	1.000260	0.000007
58112.664163	1.000179	0.000007
58112.909391	1.000171	0.000007
58113.144401	1.000227	0.000006
58113.379411	1.000207	0.000006
58113.645074	1.000194	0.000006
58113.900520	1.000200	0.000007
58114.145747	1.000236	0.000007
58114.401193	1.000241	0.000007
58114.605549	1.000246	0.000008
58114.901866	1.000242	0.000007
58115.147094	1.000209	0.000006
58115.392322	1.000172	0.000006
58115.617114	1.000186	0.000006
58115.872560	1.000191	0.000007
58116.138223	1.000086	0.000006
58116.311926	1.000091	0.000009
58116.618461	1.000156	0.000007
58116.873907	1.000070	0.000006
58117.119135	1.000071	0.000007
58117.384798	0.999993	0.000006
58117.609590	1.000040	0.000007
58117.875254	0.999982	0.000006
58118.120482	0.999993	0.000007
58118.375928	0.999991	0.000006
58118.590502	1.000047	0.000007
58118.794859	0.999907	0.000010
58119.213790	1.000146	0.000009
58119.356839	0.999821	0.000007
58119.632721	0.999734	0.000006
58119.857513	0.999701	0.000007
58120.112959	0.999622	0.000006
58120.368405	0.999554	0.000007
58120.613633	0.999579	0.000007
58120.787336	0.999550	0.000012
58121.134742	0.999759	0.000006
58121.390188	0.999650	0.000006
58121.635416	0.999676	0.000007
58121.849991	0.999749	0.000007
58122.136090	0.999653	0.000006
58122.411971	0.999709	0.000007
58122.657199	0.999718	0.000007
58122.881992	0.999661	0.000007
58123.147655	0.999772	0.000006
58123.392883	0.999765	0.000006
58123.668765	0.999771	0.000007
58123.893557	0.999883	0.000006
58124.138785	0.999890	0.000006
58124.394231	0.999920	0.000007
58124.659894	0.999993	0.000007
58124.956212	1.000017	0.000009
58125.129915	0.999977	0.000006
58125.405796	0.999922	0.000006
58125.651024	0.999973	0.000006
58125.906470	0.999954	0.000007
58126.151698	0.999932	0.000007
58126.407143	0.999955	0.000006
58126.683025	1.000015	0.000007
58126.887381	1.000035	0.000007
58127.132609	1.000230	0.000006
58127.408491	1.000405	0.000006
58127.643501	1.000531	0.000007
58127.898946	1.000616	0.000006
58128.123739	1.000414	0.000007
58128.379184	1.000305	0.000007
58128.634630	0.999489	0.000006
58128.869640	0.999028	0.000007
58129.135303	0.998085	0.000006
58129.360096	0.997431	0.000007
58129.635977	1.000069	0.000006
58129.870987	0.999881	0.000007
58130.402313	1.000261	0.000007
58130.627106	1.000017	0.000006
58130.892769	1.000332	0.000006
58131.137997	1.000267	0.000006
58131.383224	1.000336	0.000006
58131.638670	1.000386	0.000006
58131.894115	1.000449	0.000006
58132.139343	1.000320	0.000006
58132.384570	1.000054	0.000006
58132.619580	0.999924	0.000006
58132.885243	1.000206	0.000006
58133.140689	1.000045	0.000006
58133.396134	0.999760	0.000006
58133.620926	0.999766	0.000006
58133.886589	0.999787	0.000006
58134.142034	0.999903	0.000007
58134.387262	0.999746	0.000006
58134.612053	0.999879	0.000007
58134.887934	0.999808	0.000006
58135.143379	0.999827	0.000006
58135.409042	0.999909	0.000007
58135.633834	0.999876	0.000006
58135.899497	0.999986	0.000006
58136.165160	0.999923	0.000007
58136.389951	0.999945	0.000006
58136.655614	1.000025	0.000007
58136.890623	1.000076	0.000006
58137.166504	1.000005	0.000007
58137.391295	1.000022	0.000006
58137.656958	0.999966	0.000007
58137.881749	0.999887	0.000006
58138.137194	1.000081	0.000006
58138.392639	1.000064	0.000006
58138.648084	0.999809	0.000006
58138.883093	1.000016	0.000006
58139.138538	1.000154	0.000006
58139.393982	1.000264	0.000006
58139.649427	1.000184	0.000006
58139.884436	1.000134	0.000006
58140.190969	0.999959	0.000007
58140.395325	1.000074	0.000006
58140.660987	0.999583	0.000007
58140.875560	0.999736	0.000006
58141.120787	1.000441	0.000006
58141.396667	1.000165	0.000006
58141.631676	1.000249	0.000006
58141.856467	1.000155	0.000007
58142.132346	0.999722	0.000006
58142.377573	0.999910	0.000006
58142.643235	0.999828	0.000006
58142.888461	0.999995	0.000006
58143.113252	1.000206	0.000007
58143.389132	0.999843	0.000006
58143.644576	1.000068	0.000006
58143.889802	1.000191	0.000006
58144.124810	1.000088	0.000006
58144.380254	1.000148	0.000006
58144.615262	1.000091	0.000007
58144.870706	1.000053	0.000007
58145.136368	0.999909	0.000006
58145.371376	1.000104	0.000006
58145.647255	0.999934	0.000006
58145.892481	1.000052	0.000006
58146.117271	1.000058	0.000007
58146.382932	1.000085	0.000006
58146.648594	1.000132	0.000006
58146.883601	1.000119	0.000006
58147.128827	1.000098	0.000006
58147.384270	1.000089	0.000007
58147.639714	1.000050	0.000006
58147.895157	0.999977	0.000007
58148.140382	1.000099	0.000006
58148.385608	1.000085	0.000007
58148.641051	0.999997	0.000006
58148.886276	1.000076	0.000008
58149.141719	1.000023	0.000006
58149.407380	1.000099	0.000007
58149.642387	1.000066	0.000006
58149.918265	1.000029	0.000007
58150.143055	1.000123	0.000006
58150.408715	1.000183	0.000007
58150.643722	1.000039	0.000006
58150.919600	1.000275	0.000007
58151.134172	1.000008	0.000006
58151.410050	1.000191	0.000007
58151.634839	1.000203	0.000006
58151.890282	1.000044	0.000006
58152.155941	1.000026	0.000006
58152.411384	1.000469	0.000007
58152.656608	0.999722	0.000007
58152.881397	1.000459	0.000006
58153.157275	0.999891	0.000006
58153.392281	1.000387	0.000006
58153.627288	1.000284	0.000006
58153.872512	0.999879	0.000007
58154.138172	1.000266	0.000006
